track,mode,side,entry_price,exit_price,margin_roe,dollar_pnl,result_code,leverage
Track 1: Fixed 100X,1,LONG,2384.0,2393.0,0.33751677852349,1012.55033557047,1,100.0
Track 1: Fixed 100X,1,SHORT,2322.419921875,2320.3296101739247,0.020005760000012043,66.09433170044247,2,100.0
Track 1: Fixed 100X,1,SHORT,2268.75,2266.70799432,0.020005759999994488,66.49101190159219,2,100.0
Track 1: Fixed 100X,1,SHORT,2249.75,2254.08127494375,-0.2625225000000014,-877.7546644006737,-1,100.0
Track 1: Fixed 100X,1,SHORT,2184.330078125,2188.535404999658,-0.26252249999999583,-808.6255597351185,-1,100.0
Track 1: Fixed 100X,1,SHORT,2184.330078125,2186.030029296875,-0.16782483008860158,-476.2242081273508,0,100.0
Track 1: Fixed 100X,1,SHORT,2120.31005859375,2113.712794833743,0.2711461804026235,730.6737113840064,1,100.0
Track 1: Fixed 100X,1,SHORT,2000.18994140625,1994.664691393487,0.23623626628571628,688.3833819045394,1,100.0
Track 1: Fixed 100X,1,SHORT,1878.6800537109375,1870.2259934692383,0.40999999999999653,1279.3953658443315,1,100.0
Track 1: Fixed 100X,1,LONG,1563.719970703125,1569.9299926757812,0.35713133355097587,1251.4935864378253,1,100.0
Track 1: Fixed 100X,1,SHORT,1621.0699462890625,1619.6108899637734,0.020005760000003037,77.61721107565357,2,100.0
Track 1: Fixed 100X,1,LONG,1632.4599609375,1633.9290808726503,0.01999424000001683,78.03808557809785,2,100.0
Track 1: Fixed 100X,1,LONG,1638.75,1635.59577496875,-0.2624775000000004,-1030.602096499313,-1,100.0
Track 1: Fixed 100X,1,LONG,1805.3499755859375,1806.9746865758063,0.01999424000000527,72.3243475431348,2,100.0
Track 1: Fixed 100X,1,SHORT,1740.969970703125,1739.4029974496218,0.020005760000003883,72.80008943024379,2,100.0
Track 1: Fixed 100X,1,LONG,1670.2099609375,1666.9951825599364,-0.2624775000000051,-960.8767077858645,-1,100.0
Track 1: Fixed 100X,1,SHORT,1575.219970703125,1578.2526235712219,-0.2625224999999969,-885.3659169714707,-1,100.0
Track 1: Fixed 100X,1,SHORT,1573.1400146484375,1576.168663133139,-0.26252249999999977,-815.6373747900377,-1,100.0
Track 1: Fixed 100X,1,SHORT,1592.0,1595.0649581999999,-0.2625224999999915,-751.4004259730187,-1,100.0
Track 1: Fixed 100X,1,SHORT,1764.93994140625,1763.3513937984437,0.02000576000000151,52.75143506367199,2,100.0
Track 1: Fixed 100X,1,SHORT,1755.8199462890625,1754.2396072021734,0.020005760000003606,53.068034828539396,2,100.0
Track 1: Fixed 100X,1,SHORT,1757.3199462890625,1752.2984457374102,0.24574765581282845,655.7919201317728,1,100.0
Track 1: Fixed 100X,1,SHORT,1728.8499755859375,1724.0774997984872,0.23604915723429384,676.3506513184926,1,100.0
Track 1: Fixed 100X,1,SHORT,1788.5400390625,1791.983381059204,-0.2625224999999955,-805.4717874742777,-1,100.0
Track 1: Fixed 100X,1,SHORT,1794.4000244140625,1797.854648201065,-0.2625224999999935,-742.0354472761084,-1,100.0
Track 1: Fixed 100X,1,LONG,1928.3199462890625,1924.608364264444,-0.2624775000000018,-683.4779693681746,-1,100.0
Track 1: Fixed 100X,1,LONG,1821.1199951171875,1817.6147488785855,-0.262477500000018,-629.6586927567625,-1,100.0
Track 1: Fixed 100X,1,SHORT,1879.1800537109375,1872.5716982677654,0.3116616425404322,688.7746592817201,1,100.0
Track 1: Fixed 100X,1,SHORT,1895.56005859375,1899.209438207556,-0.26252249999999744,-634.4224248964354,-1,100.0
Track 1: Fixed 100X,1,SHORT,1837.22998046875,1840.7670615578977,-0.2625224999999867,-584.4573765844495,-1,100.0
Track 1: Fixed 100X,1,SHORT,2420.7900390625,2418.611188589837,0.02000576000001307,41.03133866137066,2,100.0
Track 1: Fixed 100X,1,LONG,2455.639892578125,2450.913338303888,-0.2624775,-541.5660601178729,-1,100.0
Track 1: Fixed 100X,1,SHORT,2473.389892578125,2471.163699207547,0.02000576000000022,38.02726540860658,2,100.0
Track 1: Fixed 100X,1,SHORT,2454.889892578125,2467.669921875,-0.610594806940747,-1167.5940533227276,0,100.0
Track 1: Fixed 100X,1,SHORT,2407.429931640625,2405.263106034184,0.020005760000009448,31.247912789726684,2,100.0
Track 2: Fixed 30X (Sweet Spot),2,LONG,2384.0,2393.0,0.10125503355704699,303.76510067114094,1,30.0
Track 2: Fixed 30X (Sweet Spot),2,SHORT,2322.419921875,2332.001065262695,-0.14476499999999845,-447.48736643959245,-1,30.0
Track 2: Fixed 30X (Sweet Spot),2,SHORT,2268.75,2243.080078125,0.31243698347107435,923.839705060926,0,30.0
Track 2: Fixed 30X (Sweet Spot),2,SHORT,2249.75,2259.031343625,-0.14476499999999817,-468.17511032974653,-1,30.0
Track 2: Fixed 30X (Sweet Spot),2,SHORT,2184.330078125,2186.030029296875,-0.05034744902658048,-155.75399723174655,0,30.0
Track 2: Fixed 30X (Sweet Spot),2,SHORT,2120.31005859375,2113.712794833743,0.08134385412078704,247.84305062386932,1,30.0
Track 2: Fixed 30X (Sweet Spot),2,SHORT,2000.18994140625,1994.664691393487,0.07087087988571489,221.20285752782362,1,30.0
Track 2: Fixed 30X (Sweet Spot),2,SHORT,1878.6800537109375,1870.0930346357666,0.12512317419151403,398.8389103867437,1,30.0
Track 2: Fixed 30X (Sweet Spot),2,LONG,1563.719970703125,1569.9299926757812,0.10713940006529277,354.3337750787302,1,30.0
Track 2: Fixed 30X (Sweet Spot),2,SHORT,1621.0699462890625,1627.757670352478,-0.1447650000000003,-494.15852356440837,-1,30.0
Track 2: Fixed 30X (Sweet Spot),2,LONG,1632.4599609375,1641.7900085449219,0.15945990402233975,520.6803616511219,1,30.0
Track 2: Fixed 30X (Sweet Spot),2,LONG,1638.75,1631.990975625,-0.14473500000000147,-495.20770937272835,-1,30.0
Track 2: Fixed 30X (Sweet Spot),2,LONG,1805.3499755859375,1816.3374938964844,0.17058263149748804,558.3026778916402,1,30.0
Track 2: Fixed 30X (Sweet Spot),2,SHORT,1740.969970703125,1731.6717732243753,0.14822443181477296,509.95239051215407,1,30.0
Track 2: Fixed 30X (Sweet Spot),2,LONG,1670.2099609375,1663.3211799536132,-0.14473500000000178,-520.0897122255382,-1,30.0
Track 2: Fixed 30X (Sweet Spot),2,SHORT,1575.219970703125,1570.5516330870892,0.07690829921268813,264.3619669151283,1,30.0
Track 2: Fixed 30X (Sweet Spot),2,SHORT,1573.1400146484375,1579.6300037788696,-0.14476500000000042,-509.0913858956771,-1,30.0
Track 2: Fixed 30X (Sweet Spot),2,SHORT,1592.0,1587.210878610774,0.07824726235978666,263.2196510929754,1,30.0
Track 2: Fixed 30X (Sweet Spot),2,SHORT,1764.93994140625,1758.2841757145613,0.10113301153554632,348.1921594072025,1,30.0
Track 2: Fixed 30X (Sweet Spot),2,SHORT,1755.8199462890625,1750.1481923151648,0.08490778349827359,301.199378334084,1,30.0
Track 2: Fixed 30X (Sweet Spot),2,SHORT,1728.8499755859375,1724.0774997984872,0.07081474717028816,257.6049623756667,1,30.0
Track 2: Fixed 30X (Sweet Spot),2,SHORT,1788.5400390625,1795.9186609936523,-0.14476499999999992,-537.8037038908905,-1,30.0
Track 2: Fixed 30X (Sweet Spot),2,SHORT,1794.4000244140625,1801.8028217147826,-0.1447649999999975,-514.4471579327526,-1,30.0
Track 2: Fixed 30X (Sweet Spot),2,LONG,1928.3199462890625,1920.3665906705933,-0.1447349999999999,-492.00299498679476,-1,30.0
Track 2: Fixed 30X (Sweet Spot),2,LONG,1821.1199951171875,1830.260009765625,0.12356692595123611,401.80699504430453,0,30.0
Track 2: Fixed 30X (Sweet Spot),2,SHORT,1879.1800537109375,1872.5716982677654,0.09349849276212965,315.30289934880057,1,30.0
Track 2: Fixed 30X (Sweet Spot),2,SHORT,1895.56005859375,1903.3801916154782,-0.1447649999999954,-501.8812551750713,-1,30.0
Track 2: Fixed 30X (Sweet Spot),2,SHORT,1837.22998046875,1844.8094727531736,-0.14476499999999665,-480.0848032034504,-1,30.0
Track 2: Fixed 30X (Sweet Spot),2,SHORT,2420.7900390625,2408.8773637775084,0.13562959727319007,430.25491459601363,1,30.0
Track 2: Fixed 30X (Sweet Spot),2,LONG,2455.639892578125,2445.5116058411863,-0.14473500000000228,-477.821675393866,-1,30.0
