label,final_equity,net_return,max_dd,sharpe,calmar,win_rate,win_be_rate,profit_factor,total_trades,tp_count,be_count,sl_count,avg_trade_pnl,avg_win_pnl,avg_loss_pnl,avg_win_roe,avg_loss_roe,mean_leverage,min_leverage,max_leverage,liquidations
Track 1: Fixed 100X,5237.733909774583,-47.622660902254175,60.219794829191706,-1.8863825454472962,-0.7908140676555239,22.857142857142858,54.285714285714285,0.6157966533823215,35,8,11,14,-136.06474543501193,401.73182504496,-774.6981728799785,13.818575443949577,-27.83443523143333,100.0,100.0,100.0,0
Track 2: Fixed 30X (Sweet Spot),10750.823739986037,7.508237399860372,16.23889759913371,0.6804235657746113,0.4623612750819311,51.515151515151516,51.515151515151516,1.1121108791242498,33,17,0,12,22.752234545031484,391.99878965022,-478.36809024058135,12.130974556558828,-14.075613507919977,30.0,30.0,30.0,0
Track 3: Fixed 20X (Conservative),9643.913083404193,-3.5608691659580654,17.500019619074216,-0.16428283564758153,-0.20347800993759355,54.54545454545454,54.54545454545454,0.9321827374450354,33,18,0,11,-10.790512624115253,244.72978130871107,-403.89865713615575,7.963774798053618,-12.748145595429742,20.0,20.0,20.0,0
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,10077.729748120775,0.7772974812077518,5.13514467589395,0.23905933115351194,0.15136817563420182,51.515151515151516,51.515151515151516,1.0433502328791644,33,17,0,12,2.355446912750813,98.46283631947173,-128.07601013922763,4.37976425206709,-5.54184308635774,10.862773201682351,9.612512588500977,12.184597969055176,0
