scenario,total_return,cagr,max_drawdown,daily_sharpe,calmar,trades,trades_per_day,win_rate,profit_factor,avg_win_pct_margin,avg_loss_pct_margin,tp_hit_rate,avg_hold_min,avg_tp_dist_pct,avg_sl_dist_pct,fees_pct_of_initial_equity,funding_pct_of_initial_equity,liquidations,skipped_signals,years,realized_rr
"A. As specified (20X, real fees)",-0.5721050803881369,-0.267707143073757,-0.5838306439367325,-1.7401078149785758,-0.4585356144868055,631,0.6345322294103845,0.93026941362916,0.7852002740493,0.04494652101728542,-0.7636617951646194,0.93026941362916,113.6973058637084,0.0027238939452292,0.07206728157054357,0.2824556572248384,0.0009455522208125187,26,21256,2.724474885844749,0.037796540758414716
B. Zero fee / zero slippage,-0.24823593792494747,-0.0994318600634897,-0.2879817655538216,-0.5125734314708552,-0.34527137463815094,715,0.7190024469547145,0.9384615384615385,0.8564539047446017,0.042595014791417314,-0.7584459268275737,0.9384615384615385,100.3902097902098,0.0025698526987622075,0.07077107490103679,0.0,0.0016907846550400943,26,21151,2.724474885844749,0.036312189723778796
C. Min R:R >= 1.0 gate,0.0,0.0,0.0,0.0,,0,0.0,,,,,,,,,0.0,0.0,0,24594,2.724474885844749,
D. Min R:R >= 1.5 gate,0.0,0.0,0.0,0.0,,0,0.0,,,,,,,,,0.0,0.0,0,24594,2.724474885844749,
E. Min R:R >= 2.0 gate,0.0,0.0,0.0,0.0,,0,0.0,,,,,,,,,0.0,0.0,0,24594,2.724474885844749,
F. Min R:R >= 1.5 + zero fee,0.0,0.0,0.0,0.0,,0,0.0,,,,,,,,,0.0,0.0,0,24594,2.724474885844749,
