policy,leverage,margin_frac,total_return,cagr,max_drawdown,daily_sharpe,calmar,trades,trades_per_day,win_rate,profit_factor,avg_win_pct_margin,avg_loss_pct_margin,tp_hit_rate,avg_hold_min,avg_tp_dist_pct,avg_sl_dist_pct,fees_pct_of_initial_equity,funding_pct_of_initial_equity,liquidations,skipped_signals,years
fixed_margin,1.0,0.05,-0.022175417903213646,-0.00819715842554214,-0.02361492979794888,-0.9045184516471312,-0.3471176283680555,499,0.5017933161264372,0.342685370741483,1.0027579808698162,0.013070458833080313,-0.00679543046830507,0.342685370741483,92.062124248497,0.013506763560986835,0.007789822479642024,0.022089676308580025,0.00024211037306736812,0,441,2.724474885844749
fixed_margin,2.0,0.05,-0.0440473589165119,-0.016398221776289468,-0.046857437102293065,-0.9041081856668212,-0.349959852488112,499,0.5017933161264372,0.342685370741483,1.0027579808698162,0.026140917666160626,-0.01359086093661014,0.342685370741483,92.062124248497,0.013506763560986835,0.007789822479642024,0.04358707596884835,0.0004761718062380287,0,441,2.724474885844749
fixed_margin,3.0,0.05,-0.06561396059834212,-0.024601926034842347,-0.06972733230887018,-0.9036980249192675,-0.35283044998571783,499,0.5017933161264372,0.342685370741483,1.0027579808698164,0.03921137649924094,-0.020386291404915206,0.342685370741483,92.062124248497,0.013506763560986835,0.007789822479642024,0.06449794432293361,0.0007022574989257057,0,441,2.724474885844749
fixed_margin,5.0,0.05,-0.10782485377388629,-0.04101226366204125,-0.11434968018067038,-0.9028780256798922,-0.35865656639566135,499,0.5017933161264372,0.342685370741483,1.0027579808698164,0.06535229416540156,-0.033977152341525346,0.342685370741483,92.062124248497,0.013506763560986835,0.007789822479642024,0.10458399035688971,0.0011308134963970088,0,441,2.724474885844749
fixed_margin,10.0,0.05,-0.20792186700175064,-0.0819982886954469,-0.2194146064901542,-0.9008299676827497,-0.37371390176399405,499,0.5017933161264372,0.342685370741483,1.0027579808698164,0.13070458833080312,-0.06795430468305069,0.342685370741483,92.062124248497,0.013506763560986835,0.007789822479642024,0.194970779749281,0.0020684521623161867,0,441,2.724474885844749
fixed_margin,20.0,0.05,-0.3993046511769107,-0.17061428099603304,-0.4164599237982771,-0.929434307984523,-0.40967754937849526,499,0.5017933161264372,0.342685370741483,0.9919731521926456,0.26140917666160624,-0.13738622099755132,0.342685370741483,92.062124248497,0.013506763560986835,0.007789822479642024,0.3318773480549974,0.0033663202945090464,3,441,2.724474885844749
fixed_margin,50.0,0.05,-0.8115870892531658,-0.45808110793632417,-0.8244195402628859,-1.2017548092424273,-0.5556407697350964,505,0.5078269030938893,0.3326732673267327,0.9396980515455304,0.643274447920735,-0.3412615470527565,0.3326732673267327,87.17821782178218,0.013868352087999561,0.00781691631904778,0.4649786019274848,0.003474423039818605,42,441,2.724474885844749
fixed_notional,1.0,0.25,-0.10782485377388629,-0.04101226366204125,-0.11434968018067038,-0.9028780256798922,-0.35865656639566135,499,0.5017933161264372,0.342685370741483,1.0027579808698164,0.013070458833080313,-0.006795430468305069,0.342685370741483,92.062124248497,0.013506763560986835,0.007789822479642024,0.10458399035688971,0.0011308134963970088,0,441,2.724474885844749
fixed_notional,2.0,0.125,-0.10782485377388629,-0.04101226366204125,-0.11434968018067038,-0.9028780256798922,-0.35865656639566135,499,0.5017933161264372,0.342685370741483,1.0027579808698164,0.026140917666160626,-0.013590860936610138,0.342685370741483,92.062124248497,0.013506763560986835,0.007789822479642024,0.10458399035688971,0.0011308134963970088,0,441,2.724474885844749
fixed_notional,3.0,0.08333333333333333,-0.10782485377388618,-0.04101226366204114,-0.11434968018067027,-0.9028780256798914,-0.35865656639566074,499,0.5017933161264372,0.342685370741483,1.0027579808698164,0.03921137649924094,-0.020386291404915206,0.342685370741483,92.062124248497,0.013506763560986835,0.007789822479642024,0.10458399035688971,0.001130813496397009,0,441,2.724474885844749
fixed_notional,5.0,0.05,-0.10782485377388629,-0.04101226366204125,-0.11434968018067038,-0.9028780256798922,-0.35865656639566135,499,0.5017933161264372,0.342685370741483,1.0027579808698164,0.06535229416540156,-0.033977152341525346,0.342685370741483,92.062124248497,0.013506763560986835,0.007789822479642024,0.10458399035688971,0.0011308134963970088,0,441,2.724474885844749
fixed_notional,10.0,0.025,-0.10782485377388629,-0.04101226366204125,-0.11434968018067038,-0.9028780256798922,-0.35865656639566135,499,0.5017933161264372,0.342685370741483,1.0027579808698164,0.13070458833080312,-0.06795430468305069,0.342685370741483,92.062124248497,0.013506763560986835,0.007789822479642024,0.10458399035688971,0.0011308134963970088,0,441,2.724474885844749
fixed_notional,20.0,0.0125,-0.11295377771218318,-0.043039471527586026,-0.11944109428864669,-0.9354708186545264,-0.3603405660666078,499,0.5017933161264372,0.342685370741483,0.9919731521926456,0.26140917666160624,-0.13738622099755132,0.342685370741483,92.062124248497,0.013506763560986835,0.007789822479642024,0.10396916378692712,0.0011271385821193637,3,441,2.724474885844749
fixed_notional,50.0,0.005,-0.13634347710656336,-0.05237956490200968,-0.14265973564705658,-1.2133385614629286,-0.36716432050314396,505,0.5078269030938893,0.3326732673267327,0.9396980515455305,0.6432744479207351,-0.3412615470527565,0.3326732673267327,87.17821782178218,0.013868352087999561,0.00781691631904778,0.10017217900342407,0.0010956666267818856,42,441,2.724474885844749
