leverage,entry_mode,pull_frac,tp_tf,sl_tf,total_return,cagr,max_drawdown,daily_sharpe,calmar,trades,trades_per_day,win_rate,profit_factor,avg_win_pct_margin,avg_loss_pct_margin,tp_hit_rate,avg_hold_min,avg_tp_dist_pct,avg_sl_dist_pct,fees_pct_of_initial_equity,funding_pct_of_initial_equity,liquidations,skipped_signals,years,realized_rr
5.0,immediate,0.0,1m,1m,-0.8166530311921696,-0.4634754133418477,-0.8177427352829796,-9.19920248535533,-0.566774112865047,5199,5.228103107297288,0.8157337949605693,0.6586324139832552,0.006441336837374211,-0.04329479358627444,0.8157337949605693,10.934410463550682,0.001462028718769839,0.0098055767163316,0.4795435186071093,0.00021577925511611908,1,6981,2.724474885844749,0.14910175720054983
5.0,immediate,0.0,5m,5m,-0.6451248321653371,-0.31631144593396,-0.6480513291198082,-5.839508501648304,-0.4880962845390323,3619,3.6392585392015553,0.9151699364465322,0.7429838769382184,0.006459442520117504,-0.09379238967966234,0.9151699364465322,32.563691627521415,0.0013865440162749328,0.021464966886966804,0.41379962223365063,0.0009738223358317356,0,15395,2.724474885844749,0.06459567459742138
5.0,immediate,0.0,15m,15m,-0.2637078509840699,-0.10627960687332194,-0.27271030973407595,-2.3318609013391467,-0.3897161312931544,1467,1.4752120135420506,0.9359236537150648,0.9473296862183619,0.009179202591670524,-0.1415293434204969,0.9338786639400136,70.15950920245399,0.0020156731553088478,0.0351968120074803,0.22620831874561134,0.0023679639290977808,0,18883,2.724474885844749,0.05726862861558203
5.0,immediate,0.0,1h,1h,-0.16351246002587827,-0.06343208098739717,-0.1714961790243893,-1.3881661341106426,-0.3698746021529505,630,0.6335266315824758,0.9380952380952381,0.84506388244723,0.011324414432394929,-0.20307155193278997,0.9380952380952381,139.26666666666668,0.002678448859639669,0.07206955002404637,0.10253290266667145,0.0001465480350378905,0,21256,2.724474885844749,0.03716477845006651
5.0,pullback,0.0,1m,1m,-0.996055078521218,-0.8688880698364103,-0.9960885846088247,-12.703442679328909,-0.8722999974722455,10846,10.90671404149767,0.16549880140143833,0.4379145746279281,0.025605604830328286,-0.01159614206307196,0.16540660151207817,6.063894523326572,0.006472292961781288,0.0014380465622592805,0.4620976403576394,7.495705661357039e-05,0,7890,2.724474885844749,4.500753405100335
5.0,pullback,0.0,5m,5m,-0.7054291084128267,-0.3614870166466593,-0.7076611071355686,-6.524954178391321,-0.5108193922227355,2448,2.4617034827204773,0.2222222222222222,0.6572489966560024,0.0454454496921283,-0.019755700295951695,0.22181372549019607,34.2234477124183,0.011254559018999017,0.0038211192903248757,0.3325941503706938,0.0006944165174005197,0,2962,2.724474885844749,2.945356625608551
5.0,pullback,0.0,15m,15m,-0.10782485377388629,-0.04101226366204125,-0.11434968018067038,-0.9028780256798922,-0.35865656639566135,499,0.5017933161264372,0.342685370741483,1.0027579808698164,0.06535229416540156,-0.033977152341525346,0.342685370741483,92.062124248497,0.013506763560986835,0.007789822479642024,0.10458399035688971,0.0011308134963970088,0,441,2.724474885844749,1.7338987629417106
5.0,pullback,0.0,1h,1h,-0.030042775186943094,-0.011133589171991365,-0.05698191671281849,-0.8392714358614008,-0.1953881128306585,18,0.01810076090235645,0.2777777777777778,0.514487406487022,0.1101308928264916,-0.08233055885997718,0.2222222222222222,321.6666666666667,0.025024724261132756,0.01566243690541529,0.004092774760519693,2.0566094669079446e-05,0,1,2.724474885844749,1.5977541944625777
5.0,pullback,0.3,1m,1m,-0.9977659728872389,-0.8935854730269974,-0.9977794629543938,-13.148920401267047,-0.8955741285565437,11744,11.809740890959675,0.1174216621253406,0.3807638238535015,0.029106034593626894,-0.010170032044247997,0.1174216621253406,4.4766689373297,0.006565297432913759,0.0010055374495609795,0.4643477319177429,-3.862771504556487e-05,0,8952,2.724474885844749,6.529142634896578
5.0,pullback,0.3,5m,5m,-0.7589688636876724,-0.4068095555068614,-0.7592312319151531,-7.88997878540292,-0.5358177303648171,2631,2.645727885227768,0.11972633979475485,0.5110716189340417,0.05210218575672634,-0.013865839775486995,0.11972633979475485,17.199543899657925,0.012295509894091294,0.0018902935484890508,0.3452334373574873,0.0003515887359750762,0,3511,2.724474885844749,6.504550525456398
5.0,pullback,0.3,15m,15m,-0.1705507373773889,-0.06633225205923965,-0.1741644555799754,-2.373228511736604,-0.38085987085223727,363,0.36503201153085507,0.15151515151515152,0.6624548141713061,0.07090452222573097,-0.0191130346631449,0.15151515151515152,36.61432506887052,0.01422141131042576,0.0031756415975780212,0.0795305782526144,0.00018871468455319482,0,460,2.724474885844749,4.478279702996729
5.0,pullback,0.3,1h,1h,-0.007155689766048967,-0.0026324185063658634,-0.02946147309161895,-0.33060171504598906,-0.08935121805279725,10,0.010055978279086917,0.1,0.7793713295832475,0.31987636213880816,-0.04560318896312028,0.1,144.8,0.035347140755013176,0.009182087087181833,0.0023963363572324222,7.577332690161883e-05,0,1,2.724474885844749,3.8495758556197623
5.0,pullback,0.5,1m,1m,-0.9974953982682847,-0.8890251156518068,-0.997501125304876,-13.110153972662578,-0.8912522433296357,11300,11.363255455368217,0.08628318584070796,0.32436254912985335,0.03182814665003086,-0.009266061982724902,0.08628318584070796,3.6583185840707966,0.006730053324812019,0.0007723209087982199,0.4614649024249337,1.3260088512106705e-05,0,9428,2.724474885844749,8.714063348724311
5.0,pullback,0.5,5m,5m,-0.7771108836997023,-0.4236046809250348,-0.7775797265043894,-8.561959615948627,-0.5447733093934305,2763,2.778466798511715,0.07455664133188564,0.4162158325666103,0.05696181291191645,-0.01102558645244509,0.07455664133188564,11.161780673181324,0.01241786941039611,0.0011751215967907504,0.35299004875240725,0.00036850173241028214,0,3892,2.724474885844749,10.56730592332677
5.0,pullback,0.5,15m,15m,-0.15452721020573468,-0.05975200444849749,-0.15452721020573468,-2.5674130757935174,-0.3866762647752766,306,0.30771293534005967,0.0784313725490196,0.5115820968187526,0.08086014596654763,-0.013451828344146665,0.0784313725490196,18.852941176470587,0.014838632852210015,0.0017556102903461583,0.06967964234695104,9.460131981580883e-05,0,467,2.724474885844749,8.452122281240584
5.0,pullback,0.5,1h,1h,-0.0133500563066965,-0.0049209019803525544,-0.020560560790515825,-1.4261061319618125,-0.2393369534269935,6,0.00603358696745215,0.0,0.0,,-0.039751044088320996,0.0,24.5,0.03720611426056534,0.006952167432548655,0.0014895698673458176,0.0,0,1,2.724474885844749,5.351728740935347
5.0,pullback,0.8,1m,1m,-0.9152746613144431,-0.5958574582153235,-0.9152746613144431,-12.448128643497121,-0.6510149175981792,4063,4.085743974793014,0.013782919025350726,0.05193444635491251,0.028482225677615252,-0.0076645577634421435,0.013782919025350726,0.5340881122323407,0.0062375309590363736,0.00020673370464015378,0.3785824056011623,-5.2662478189927595e-05,0,10100,2.724474885844749,30.1718143632824
5.0,pullback,0.8,5m,5m,-0.5278654807125144,-0.24077928499487034,-0.5278654807125144,-8.596429659584265,-0.4561375838970674,1288,1.2952100023463948,0.015527950310559006,0.11553940016918168,0.05607121875427039,-0.007654567013526362,0.015527950310559006,2.5225155279503104,0.013030420451355267,0.0003038705813596009,0.2268140229438337,0.00031240085167629666,0,4146,2.724474885844749,42.88148063907196
5.0,pullback,0.8,15m,15m,-0.0656257856675827,-0.02460645686909968,-0.0656257856675827,-3.2639181251263816,-0.3749510443004811,108,0.1086045654141387,0.0,0.0,,-0.007556282991401163,0.0,2.6944444444444446,0.014873305542412974,0.00029510579830073697,0.026105218131823187,4.8759633955612885e-05,0,487,2.724474885844749,50.399909551271705
5.0,pullback,0.8,1h,1h,0.0,0.0,0.0,0.0,,0,0.0,,,,,,,,,0.0,0.0,0,1,2.724474885844749,
1.0,pullback,0.8,1h,1h,0.0,0.0,0.0,0.0,,0,0.0,,,,,,,,,0.0,0.0,0,1,2.724474885844749,
3.0,pullback,0.8,1h,1h,0.0,0.0,0.0,0.0,,0,0.0,,,,,,,,,0.0,0.0,0,1,2.724474885844749,
5.0,pullback,0.8,1h,1h,0.0,0.0,0.0,0.0,,0,0.0,,,,,,,,,0.0,0.0,0,1,2.724474885844749,
10.0,pullback,0.8,1h,1h,0.0,0.0,0.0,0.0,,0,0.0,,,,,,,,,0.0,0.0,0,1,2.724474885844749,
20.0,pullback,0.8,1h,1h,0.0,0.0,0.0,0.0,,0,0.0,,,,,,,,,0.0,0.0,0,1,2.724474885844749,
1.0,pullback,0.3,1h,1h,-0.0014107618023546653,-0.0005180419039964024,-0.005962081924986817,-0.32704673307174836,-0.08688943065765535,10,0.010055978279086917,0.1,0.7793713295832474,0.06397527242776163,-0.009120637792624058,0.1,144.8,0.035347140755013176,0.009182087087181833,0.0004834882684051564,1.5433661718401664e-05,0,1,2.724474885844749,3.8495758556197623
3.0,pullback,0.3,1h,1h,-0.004263064784236881,-0.0015668449654461236,-0.01778114186270985,-0.32882548977284626,-0.08811835468969911,10,0.010055978279086917,0.1,0.7793713295832474,0.19192581728328487,-0.027361913377872166,0.1,144.8,0.035347140755013176,0.009182087087181833,0.0014441172170839847,4.588080973288087e-05,0,1,2.724474885844749,3.8495758556197623
5.0,pullback,0.3,1h,1h,-0.007155689766048967,-0.0026324185063658634,-0.02946147309161895,-0.33060171504598906,-0.08935121805279725,10,0.010055978279086917,0.1,0.7793713295832475,0.31987636213880816,-0.04560318896312028,0.1,144.8,0.035347140755013176,0.009182087087181833,0.0023963363572324222,7.577332690161883e-05,0,1,2.724474885844749,3.8495758556197623
