conviction_thresh,min_roe_thresh,dyn_trades,dyn_return_pct,dyn_win_rate,dyn_max_dd,dyn_profit_factor,dyn_liquidations,fix_return_pct,nostop_liquidations
0.5,4.0,566,-85.87491246842741,31.448763250883395,-87.09411883696959,0.7213504637260406,0,-75.19424464010865,2
0.5,8.0,505,-86.17470797451993,30.099009900990097,-86.78523340557939,0.6961041009737058,0,-72.2458297473532,2
0.5,12.0,249,-45.30149500750006,28.915662650602407,-51.24333538195695,0.6889262772273935,0,-29.147387202610197,0
0.5,16.0,0,0.0,0.0,0.0,0.0,0,0.0,0
0.55,4.0,296,-39.83961531931065,32.77027027027027,-43.47786306303219,0.7543477765005525,0,-23.58281005218494,2
0.55,8.0,236,-27.935269251558946,32.6271186440678,-30.052677125099642,0.7866120627039055,0,-19.124726187754533,2
0.55,12.0,111,-9.924999884217959,32.432432432432435,-14.033010508045992,0.8401283097378693,0,-6.843394210487603,0
0.55,16.0,0,0.0,0.0,0.0,0.0,0,0.0,0
0.6,4.0,72,-6.972257431722337,34.72222222222222,-11.524677732761026,0.8058222144822129,0,2.740609534606374,0
0.6,8.0,46,-4.101251479722705,32.608695652173914,-6.464324982073058,0.8296287980159933,0,2.939674043189753,0
0.6,12.0,31,5.255190154686534,45.16129032258064,-3.357309554084438,1.3892863070073338,0,3.62447497067973,0
0.6,16.0,0,0.0,0.0,0.0,0.0,0,0.0,0
0.65,4.0,11,-2.5123558178544045,27.27272727272727,-3.933704153150302,0.5626352876392273,0,-0.646948619391751,0
0.65,8.0,3,-1.2414748552441415,33.33333333333333,-1.7052075466305765,0.2753695224997786,0,-1.2882225234806355,0
0.65,12.0,2,-0.40388990536332126,50.0,-0.8715555789657593,0.5387633321513404,0,-0.49896471545100207,0
0.65,16.0,0,0.0,0.0,0.0,0.0,0,0.0,0
0.7,4.0,0,0.0,0.0,0.0,0.0,0,0.0,0
0.7,8.0,0,0.0,0.0,0.0,0.0,0,0.0,0
0.7,12.0,0,0.0,0.0,0.0,0.0,0,0.0,0
0.7,16.0,0,0.0,0.0,0.0,0.0,0,0.0,0
0.75,4.0,0,0.0,0.0,0.0,0.0,0,0.0,0
0.75,8.0,0,0.0,0.0,0.0,0.0,0,0.0,0
0.75,12.0,0,0.0,0.0,0.0,0.0,0,0.0,0
0.75,16.0,0,0.0,0.0,0.0,0.0,0,0.0,0
0.8,4.0,0,0.0,0.0,0.0,0.0,0,0.0,0
0.8,8.0,0,0.0,0.0,0.0,0.0,0,0.0,0
0.8,12.0,0,0.0,0.0,0.0,0.0,0,0.0,0
0.8,16.0,0,0.0,0.0,0.0,0.0,0,0.0,0
