symbol,entry_time,exit_time,entry_price,exit_price,units,leverage,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,slippage_cost_usdt,funding_cost_usdt,borrow_cost_usdt,net_pnl_usdt,gross_ret_pct,exit_reason,bars_held
BNBUSDT,2025-01-02 08:00:00,2025-01-02 16:00:00,707.303475,704.197725,14.126892279159238,1.0,-43.87459569599961,8.0,7.958500323443201,4.976550977640302,0.0,0.0,-59.83309601944281,-0.4390972347477944,SIGNAL_EXIT,2
SOLUSDT,2025-01-02 16:00:00,2025-01-06 20:00:00,206.87338499999998,219.89000000000001,48.01108064460479,1.0,624.9417524847738,7.952133523184447,8.445725218353719,5.281218870905817,0.0,0.0,608.5438937432357,6.292068455301793,SIGNAL_EXIT,25
BNBUSDT,2025-01-06 20:00:00,2025-01-07 00:00:00,732.6661499999999,729.05529,14.386186435780633,1.0,-51.946505153501256,8.438968638179038,8.390660259145694,5.2467860549927705,0.0,0.0,-68.77613405082599,-0.492838382119863,SIGNAL_EXIT,1
BTCUSDT,2025-01-07 00:00:00,2025-01-07 08:00:00,102286.7178,100608.34393240715,0.10237449144097997,1.0,-171.82267114264837,8.383947730938377,8.239782435839508,15.47280126910274,0.0,0.0,-188.44640130942628,-1.6408522080790113,STOP_LOSS,3
BTCUSDT,2025-01-07 12:00:00,2025-01-07 12:00:00,100881.27543,99056.29919828357,0.1019342293990826,1.0,-186.02754585165567,8.233190609890837,8.0777820207216,15.168594180123199,0.0,0.0,-202.3385184822681,-1.809033662528138,STOP_LOSS,1
BTCUSDT,2025-01-14 12:00:00,2025-01-16 12:00:00,96596.31401999999,99109.12065,0.10436297209020744,1.0,262.24396819477886,8.07131979510502,8.274657913824763,5.174248320300624,0.0,0.0,245.89799048584908,2.60134835939986,SIGNAL_EXIT,12
SOLUSDT,2025-01-16 12:00:00,2025-01-16 16:00:00,212.876385,208.965465,48.5106870646062,1.0,-189.7214162547099,8.2680381874937,8.109646623939938,5.071064672298536,0.0,0.0,-206.09910106614353,-1.8371788867046028,SIGNAL_EXIT,1
BTCUSDT,2025-01-16 16:00:00,2025-01-18 08:00:00,99345.81808499999,102770.339125,0.10187490192828222,1.0,348.8727451013397,8.103158906640784,8.375774575596544,5.237477848672318,0.0,0.0,332.3938116191024,3.4470711561003973,SIGNAL_EXIT,10
SOLUSDT,2025-01-18 08:00:00,2025-01-18 16:00:00,233.00644499999999,246.6295,44.86130575042313,1.0,611.1480356098315,8.369073955936068,8.851297125259185,16.62111378053144,0.0,0.0,593.9276645286362,5.84664299736431,STOP_LOSS,3
SOLUSDT,2025-01-18 20:00:00,2025-01-19 12:00:00,255.47767499999998,280.61694225,43.23832167864047,1.0,1086.9797241208132,8.844216087558978,9.70672449398558,18.227449600622894,0.0,0.0,1068.4287835392686,9.84010334758215,STOP_LOSS,5
