symbol,mode,entry_time,exit_time,entry_price,exit_price,notional,margin,realized_pnl,fees_paid,exit_reason,pnl_pct
GASUSDT,MAKER,2023-11-10 11:30:00,2023-11-11 11:31:00,25.483672329745065,12.693,5000.0,1000.0,1589.2134425604688,1.6820209073064447,TIME_EXIT,158.9213442560469
BIGTIMEUSDT,MAKER,2023-12-05 22:00:00,2023-12-06 22:01:00,0.7826209317382685,0.6997,5794.6067212802345,1158.921344256047,702.2694671720543,2.177185142318071,TIME_EXIT,60.59681881369319
TRBUSDT,MAKER,2023-12-31 23:03:00,2024-01-01 05:22:00,193.81319238304798,193.81319238304798,6145.741454866262,1229.1482909732524,1182.0626928167947,2.221685535934154,BREAK_EVEN,96.16925
LEVERUSDT,MAKER,2025-06-30 12:43:00,2025-07-01 12:44:00,0.000359518998353824,0.0003225,6736.77280127466,1347.354560254932,692.4642662410301,2.555974543265056,FINAL_BAR,51.39436096984075
KORUUSDT,MAKER,2026-06-23 03:16:00,2026-06-24 03:17:00,872.322291371516,687.92,7083.004934395175,1416.600986879035,1343.9508357079794,2.564182290355779,TIME_EXIT,94.87151626718024
ONEUSDT,MAKER,2026-07-21 20:15:00,2026-07-22 20:16:00,0.0015093784508465715,0.001319,7754.980352249164,1550.9960704498328,1041.5840706452127,2.89340684461579,TIME_EXIT,67.15581621964547
ARKUSDT,MAKER,2026-09-14 10:11:00,2026-09-15 10:12:00,0.16762988045089508,0.1463,8275.772387571771,1655.1544775143543,1051.59704279156,3.0997006372384517,FINAL_BAR,63.53467649562275
