symbol,entry_time,exit_time,entry_price,exit_price,notional,margin,realized_pnl,fees_paid,exit_reason,pnl_pct
LOOMUSDT,2023-10-14 21:47:00,2023-10-15 03:03:00,0.3357272,0.374884272,3000.0,1000.0,-351.5757508119689,3.1749504002058817,STOP_LOSS,-35.15757508119689
GASUSDT,2023-11-09 16:10:00,2023-11-10 01:01:00,20.78335,23.246299800000003,2894.5272747564095,964.8424249188031,-344.6373610058045,3.0660365687936038,STOP_LOSS,-35.719548820089216
BIGTIMEUSDT,2023-12-04 08:18:00,2023-12-04 18:49:00,0.6106762,0.6118975524,2791.136066454668,930.3786888182226,139.92049533003257,2.720513346133199,BREAK_EVEN,15.039090749999998
AUCTIONUSDT,2023-12-28 08:27:00,2023-12-29 08:27:00,35.069720000000004,30.84156,2833.1122150536776,944.3707383512258,367.8427922709878,2.648574809567164,TIME_EXIT,38.95110016996116
BAKEUSDT,2023-12-28 12:16:00,2023-12-29 12:16:00,0.631734,0.6069114,2943.4650527349736,981.1550175783245,114.24309024053797,2.8856365556000885,FINAL_BAR,11.643735005556149
TRBUSDT,2023-12-31 20:02:00,2023-12-31 20:18:00,424.3995,474.635376,2977.7379798071347,992.5793266023783,-354.13789556047874,3.1539743748948785,STOP_LOSS,-35.67854841110794
LEVERUSDT,2025-04-25 06:24:00,2025-04-25 10:55:00,0.0006822328,0.0007739908920000001,2871.496611138991,957.1655370463303,-387.83580375246584,3.0646000871244463,STOP_LOSS,-40.519198481515446
LEVERUSDT,2025-06-30 08:06:00,2025-07-01 08:06:00,0.0003871242,0.0003390768,2755.1458700132516,918.3819566710838,364.0792088821918,2.5725087976408387,TIME_EXIT,39.643549858262936
KORUUSDT,2026-06-23 08:01:00,2026-06-24 08:01:00,774.01886,762.19134,2864.3696326779086,954.7898775593029,42.35916196356988,2.8424849016534663,FINAL_BAR,4.4364904738884725
ONEUSDT,2026-07-21 16:01:00,2026-07-22 16:01:00,0.001488018,0.001299594,2877.0773812669795,959.0257937556598,384.89535954661534,2.684006967355311,TIME_EXIT,40.133994523684194
COTIUSDT,2026-08-22 09:29:00,2026-08-23 04:36:00,0.010980994,0.0121009536,2992.5459891309642,997.5153297103215,-306.8608305449295,3.1451519649182527,STOP_LOSS,-30.762517768427873
ARKUSDT,2026-09-13 05:33:00,2026-09-13 07:15:00,0.1518956,0.175995288,2900.4877399674856,966.8292466558286,-461.87042724482853,3.1305827841328253,STOP_LOSS,-47.77166483558445
ONEUSDT,2026-09-17 18:24:00,2026-09-17 18:32:00,0.001564365,0.00171498312,2761.926611794037,920.6422039313456,-267.4340851433905,2.894886692672345,STOP_LOSS,-29.048644956899423
