symbol,mode,entry_time,exit_time,entry_price,exit_price,notional,margin,realized_pnl,fees_paid,exit_reason,pnl_pct
ARKUSDT,MAKER,2026-09-14 10:39:00,2026-09-15 06:40:00,0.16458967801108662,0.1524,5000.0,1000.0,369.37911775571916,1.9259389886511258,FINAL_BAR,36.93791177557192
AUCTIONUSDT,MAKER,2023-12-28 04:00:00,2023-12-29 04:01:00,40.50959992732157,31.2,5184.689558877861,1036.937911775572,996.9719315610473,1.8743139620288842,TIME_EXIT,96.14576921523776
BAKEUSDT,MAKER,2023-12-27 02:15:00,2023-12-27 19:30:00,0.8002763652963331,0.8002763652963331,5683.175524658383,1136.6351049316768,197.8142904867843,2.233487981190745,BREAK_EVEN,17.403499999999994
BRUSDT,MAKER,2026-09-20 19:05:00,2026-09-20 22:39:00,1.115575210452895,1.15903,5782.082669901775,1156.416533980355,-226.42983158201804,2.3578787418355427,FINAL_BAR,-19.580300430559614
BTWUSDT,MAKER,2026-09-21 20:48:00,2026-09-21 21:06:00,0.7612511926136851,0.8754388715057378,5668.867754110766,1133.7735508221533,-851.6340027000601,2.4376131342676297,STOP_LOSS,-75.11499999999998
ENAUSDT,MAKER,2024-06-19 08:45:00,2024-06-20 08:46:00,0.641801019877176,0.6489,5243.050752760736,1048.6101505521472,-59.0537487939061,2.108819009091368,FINAL_BAR,-5.631620937753775
INJUSDT,MAKER,2026-05-13 15:22:00,2026-05-14 15:23:00,5.545383911531276,5.166,5213.523878363784,1042.7047756727568,413.3554410743087,2.002546494786829,TIME_EXIT,39.64261512158227
KORUUSDT,MAKER,2026-07-15 10:49:00,2026-07-16 10:50:00,23.299553136213138,20.18,5420.201598900939,1084.0403197801877,660.463679513935,2.0357975522111023,TIME_EXIT,60.92611754956292
LEVERUSDT,MAKER,2025-04-26 08:15:00,2025-04-27 08:16:00,0.0008676126519086243,0.000793,5750.433438657905,1150.086687731581,521.6600820040397,2.1956322499499104,TIME_EXIT,45.35832712166739
LEVERUSDT,MAKER,2025-06-30 12:43:00,2025-07-01 05:46:00,0.000359518998353824,0.000359518998353824,6011.263479659925,1202.252695931985,209.2340479365231,2.3624265475063506,BREAK_EVEN,17.403500000000008
LEVERUSDT,MAKER,2025-08-30 14:40:00,2025-08-31 14:41:00,0.0001925663702758928,0.0001652,6115.8805036281865,1223.1761007256373,777.937257869842,2.290551274842483,TIME_EXIT,63.59977581382912
LEVERUSDT,MAKER,2025-09-03 06:47:00,2025-09-03 07:54:00,0.00021352067812632905,0.00024554877984527836,6504.8491325631085,1300.9698265126217,-977.2234851849545,2.7970851270021364,STOP_LOSS,-75.1149999999999
MRVLUSDT,MAKER,2026-06-03 09:21:00,2026-06-03 22:00:00,325.1763555227756,293.84,6016.23738997063,1203.247477994126,586.3319615440292,2.2890114108928663,TIME_EXIT,48.72912449577489
NILUSDT,MAKER,2026-07-27 15:53:00,2026-07-28 15:54:00,0.04134538856550638,0.03621,6309.403370742644,1261.880674148529,729.1003097053589,2.377718118867042,TIME_EXIT,57.77886329841204
ONEUSDT,MAKER,2026-07-21 20:15:00,2026-07-22 20:16:00,0.0015093784508465715,0.001319,6673.953525595324,1334.7907051190648,779.5720473114111,2.5134312726623387,TIME_EXIT,58.40406621964546
ONEUSDT,MAKER,2026-08-13 11:35:00,2026-08-14 11:36:00,0.0007829094398451028,0.000651,7063.7395492510295,1412.7479098502058,1019.6150332560857,2.6213310964118826,TIME_EXIT,72.17246800699183
ONEUSDT,MAKER,2026-09-22 06:05:00,2026-09-22 14:01:00,0.003911412221917329,0.003911412221917329,7573.547065879073,1514.7094131758145,263.6124527220528,2.9764039968904754,BREAK_EVEN,17.403499999999998
