symbol,entry_time,exit_time,entry_price,exit_price,notional,margin,realized_pnl,fees_paid,exit_reason,pnl_pct
BLZUSDT,2023-09-21 09:51:00,2023-09-22 09:51:00,0.17648632,0.18425778,5000.0,1000.0,-222.7818249595778,5.110085869545017,FINAL_BAR,-22.27818249595778
LOOMUSDT,2023-10-14 08:38:00,2023-10-14 15:35:00,0.2591806,0.2989467,4888.609087520211,977.7218175040422,-752.8790141406791,5.263638927398731,STOP_LOSS,-77.00339714855208
GASUSDT,2023-11-09 04:16:00,2023-11-09 04:26:00,16.025884,17.0476272,4512.169580449871,902.4339160899743,-290.07694542821173,4.656008091513334,STOP_LOSS,-32.14384347222279
BIGTIMEUSDT,2023-12-04 02:48:00,2023-12-04 03:42:00,0.5257464000000001,0.56518812,4367.131107735766,873.4262215471532,-329.9714228473858,4.530943130371208,STOP_LOSS,-37.7789691569927
AUCTIONUSDT,2023-12-16 13:23:00,2023-12-17 13:23:00,27.06576,26.07204,4202.145396312073,840.4290792624147,152.25793296748364,4.125004463945436,FINAL_BAR,18.116690238884843
AUCTIONUSDT,2023-12-27 22:10:00,2023-12-27 23:54:00,41.357119999999995,44.254332,4278.274362795815,855.6548725591631,-301.99718718816814,4.428128460750223,STOP_LOSS,-35.29427539925415
BAKEUSDT,2023-12-27 15:16:00,2023-12-27 19:19:00,0.7253464,0.797804424,4127.275769201731,825.4551538403463,-414.56140979441847,4.333421582250116,STOP_LOSS,-50.222160206488944
TRBUSDT,2023-12-31 13:19:00,2023-12-31 15:01:00,231.369334,278.1984872016,3919.995064304522,783.9990128609045,-795.7637020478953,4.31669856481214,STOP_LOSS,-101.5006
LEVERUSDT,2025-04-25 02:16:00,2025-04-25 04:28:00,0.0005682612,0.00063673092,3522.1132132805747,704.4226426561149,-426.35222097679605,3.7343027007219316,STOP_LOSS,-60.52505912773912
LEVERUSDT,2025-06-29 02:16:00,2025-06-29 06:52:00,0.0002872244,0.0003015018,3308.9371027921766,661.7874205584353,-166.21792521002465,3.3911777108174785,STOP_LOSS,-25.116513255837525
KORUUSDT,2026-06-23 02:02:00,2026-06-24 02:02:00,897.99042,772.3416,3225.828140187164,645.1656280374328,459.4413961585768,2.995416191047399,TIME_EXIT,71.21293760738287
ONEUSDT,2026-07-21 14:42:00,2026-07-22 14:42:00,0.001522948,0.001324644,3455.5488382664525,691.1097676532905,470.33534859349015,3.219635233562493,TIME_EXIT,68.0550862695148
NILUSDT,2026-07-27 06:47:00,2026-07-27 08:04:00,0.04048886,0.043590006,3690.716512563198,738.1433025126396,-284.6681760744257,3.8320572511030004,STOP_LOSS,-38.56543507275827
ONEUSDT,2026-08-12 10:35:00,2026-08-12 16:21:00,0.00072854,0.0007992352800000001,3548.382424525985,709.676484905197,-346.2704659445609,3.720544480863965,STOP_LOSS,-48.79272081148608
COTIUSDT,2026-08-21 20:30:00,2026-08-22 20:30:00,0.012373203999999999,0.011809571999999999,3375.2471915537044,675.0494383107409,273.58055128107867,3.2376818867676693,TIME_EXIT,40.52748373003507
ARKUSDT,2026-09-13 04:29:00,2026-09-13 07:15:00,0.151197,0.175995288,3512.0374671942436,702.4074934388487,-578.0641653010723,3.8000475354438565,STOP_LOSS,-82.29755102283775
ONEUSDT,2026-09-17 10:44:00,2026-09-17 12:39:00,0.0010576804,0.001132726932,3223.005384543708,644.6010769087416,-230.41059400160844,3.3373477590111422,STOP_LOSS,-35.74468027676418
