bar_time,candle_close_time_utc,data_arrival_time_utc,decision_time_utc,quote_arrival_time_utc,arrival_latency_sec,execution_latency_sec,total_latency_sec,candidate_a_equity,candidate_a_cash,candidate_a_pos,candidate_a_units,candidate_b_equity,candidate_b_cash,candidate_b_btc_pos,candidate_b_eth_pos,candidate_b_sol_pos,candidate_b_bnb_pos,regime
2026-09-19 16:00:00,2026-09-19 16:00:00,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,306578.0,0.181,306578.1811,9964.1573,0.0,ETHUSDT,3.782971,9949.6335,0.0,1,1,1,1,DEMO_REPLAY
2026-09-19 20:00:00,2026-09-19 20:00:00,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,292178.0,0.006,292178.0059,9955.2295,0.0,ETHUSDT,3.782971,9938.4133,0.0,1,1,1,1,DEMO_REPLAY
2026-09-20 00:00:00,2026-09-20 00:00:00,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,277778.0,0.006,277778.0059,9784.9958,0.0,ETHUSDT,3.782971,9786.9031,0.0,1,1,1,1,DEMO_REPLAY
2026-09-20 04:00:00,2026-09-20 04:00:00,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,263378.0,0.007,263378.0071,9743.1183,0.0,ETHUSDT,3.782971,9752.3561,0.0,1,1,1,1,DEMO_REPLAY
2026-09-20 08:00:00,2026-09-20 08:00:00,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,248978.0,0.006,248978.0059,9752.1218,0.0,ETHUSDT,3.782971,9774.6324,0.0,1,1,1,1,DEMO_REPLAY
2026-09-20 12:00:00,2026-09-20 12:00:00,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,234578.0,0.006,234578.006,9879.9106,0.0,ETHUSDT,3.782971,9842.2944,0.0,1,1,1,1,DEMO_REPLAY
2026-09-20 16:00:00,2026-09-20 16:00:00,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,220178.0,0.005,220178.0052,9957.4615,0.0,ETHUSDT,3.782971,9946.9793,0.0,1,1,1,1,DEMO_REPLAY
2026-09-20 20:00:00,2026-09-20 20:00:00,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,205778.0,0.005,205778.0052,10001.0792,0.0,ETHUSDT,3.782971,9982.978,0.0,1,1,1,1,DEMO_REPLAY
2026-09-21 00:00:00,2026-09-21 00:00:00,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,191378.0,0.005,191378.0054,10081.5808,0.0,ETHUSDT,3.782971,10034.696,0.0,1,1,1,1,DEMO_REPLAY
2026-09-21 04:00:00,2026-09-21 04:00:00,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,176978.0,0.006,176978.0059,10065.768,0.0,ETHUSDT,3.782971,10025.3636,0.0,1,1,1,1,DEMO_REPLAY
