bar_time,candle_close_time_utc,data_arrival_time_utc,decision_time_utc,quote_arrival_time_utc,arrival_latency_sec,execution_latency_sec,total_latency_sec,candidate_a_equity,candidate_a_cash,candidate_a_pos,candidate_a_units,candidate_b_equity,candidate_b_cash,candidate_b_btc_pos,candidate_b_eth_pos,candidate_b_sol_pos,candidate_b_bnb_pos,regime
2026-09-21 08:00:00,2026-09-21 08:00:00,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,162578.0,0.005,162578.0055,10305.684,0.0,ETHUSDT,3.782971,10357.9355,0.0,1,1,1,1,DEMO_REPLAY
2026-09-21 12:00:00,2026-09-21 12:00:00,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,148178.0,0.005,148178.0054,10418.2652,0.0,ETHUSDT,3.782971,10483.401,0.0,1,1,1,1,DEMO_REPLAY
2026-09-21 16:00:00,2026-09-21 16:00:00,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,133778.0,0.006,133778.0059,10461.0114,0.0,BTCUSDT,0.121,10506.5207,0.0,1,1,1,1,DEMO_REPLAY
2026-09-21 20:00:00,2026-09-21 20:00:00,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,119378.0,0.005,119378.0055,10476.0639,0.0,BTCUSDT,0.121,10533.9378,0.0,1,1,1,1,DEMO_REPLAY
2026-09-22 00:00:00,2026-09-22 00:00:00,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,104978.0,0.006,104978.0064,10364.4894,0.0,BTCUSDT,0.121,10391.5696,0.0,1,1,1,1,DEMO_REPLAY
2026-09-22 04:00:00,2026-09-22 04:00:00,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,90578.0,0.006,90578.0056,10324.3293,0.0,BTCUSDT,0.121,10344.0133,0.0,1,1,1,1,DEMO_REPLAY
2026-09-22 08:00:00,2026-09-22 08:00:00,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,76178.0,0.006,76178.0061,10400.003,0.0,BTCUSDT,0.121,10406.8635,0.0,1,1,1,1,DEMO_REPLAY
2026-09-22 12:00:00,2026-09-22 12:00:00,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,61778.0,0.005,61778.0052,10450.4965,0.0,BTCUSDT,0.121,10425.3292,0.0,1,1,1,1,DEMO_REPLAY
2026-09-22 16:00:00,2026-09-22 16:00:00,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,47378.0,0.006,47378.0063,10423.7191,0.0,BTCUSDT,0.121,10440.1127,0.0,1,1,1,1,DEMO_REPLAY
2026-09-22 20:00:00,2026-09-22 20:00:00,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,2026-09-23 05:09:38 UTC,32978.0,0.006,32978.0058,10423.9853,0.0,BTCUSDT,0.121,10456.5634,0.0,1,1,1,1,DEMO_REPLAY
