bar_time,cash,position_value,total_equity,gross_realized_pnl,gross_unrealized_pnl,cum_fees,cum_slippage,active_positions_count,active_symbols
2020-10-15 00:00:00,0.40671999999904074,9952.556745329615,9952.963465329614,0.0,-39.04325467038601,7.99328,4.99330334832452,1,BTCUSDT
2020-10-15 04:00:00,0.40671999999904074,9968.186661335914,9968.593381335913,0.0,-23.413338664085945,7.99328,4.99330334832452,1,BTCUSDT
2020-10-15 08:00:00,0.40671999999904074,9896.938034706192,9897.344754706191,0.0,-94.66196529380797,7.99328,4.99330334832452,1,BTCUSDT
2020-10-15 12:00:00,0.40671999999904074,9969.402418652577,9969.809138652576,0.0,-22.19758134742411,7.99328,4.99330334832452,1,BTCUSDT
2020-10-15 16:00:00,0.40671999999904074,10076.73017428397,10077.136894283969,0.0,85.13017428396984,7.99328,4.99330334832452,1,BTCUSDT
2020-10-15 20:00:00,0.40671999999904074,10062.902028113876,10063.308748113875,0.0,71.30202811387555,7.99328,4.99330334832452,1,BTCUSDT
2020-10-16 00:00:00,0.40671999999904074,10065.394767935808,10065.801487935807,0.0,73.79476793580787,7.99328,4.99330334832452,1,BTCUSDT
2020-10-16 04:00:00,0.40671999999904074,9888.628901966415,9889.035621966414,0.0,-102.9710980335866,7.99328,4.99330334832452,1,BTCUSDT
2020-10-16 08:00:00,0.40671999999904074,9944.142655123651,9944.54937512365,0.0,-47.45734487635042,7.99328,4.99330334832452,1,BTCUSDT
2020-10-16 12:00:00,0.40671999999904074,9910.774927331802,9911.181647331801,0.0,-80.82507266819793,7.99328,4.99330334832452,1,BTCUSDT
2020-10-16 16:00:00,0.40671999999904074,9890.588108001899,9890.994828001898,0.0,-101.01189199810214,7.99328,4.99330334832452,1,BTCUSDT
2020-10-16 20:00:00,0.40671999999904074,9900.392884634837,9900.799604634836,0.0,-91.20711536516413,7.99328,4.99330334832452,1,BTCUSDT
2020-10-17 00:00:00,0.40671999999904074,9938.606148782303,9939.012868782302,0.0,-52.99385121769758,7.99328,4.99330334832452,1,BTCUSDT
2020-10-17 04:00:00,0.40671999999904074,9922.836289487754,9923.243009487753,0.0,-68.76371051224642,7.99328,4.99330334832452,1,BTCUSDT
2020-10-17 08:00:00,0.40671999999904074,9921.218195217376,9921.624915217375,0.0,-70.38180478262468,7.99328,4.99330334832452,1,BTCUSDT
2020-10-17 12:00:00,0.40671999999904074,9916.328926584181,9916.73564658418,0.0,-75.27107341581927,7.99328,4.99330334832452,1,BTCUSDT
