trade_id,symbol,entry_time,exit_time,entry_price,exit_price,units,notional_entry_usd,notional_exit_usd,gross_pnl_usd,total_fee_usd,net_pnl_usd,net_ret_pct,duration_bars,exit_reason,stop_mode
1,ETHUSDT,2020-11-06 04:00:00,2020-11-07 16:00:00,426.903345,428.63821964285717,11.702414746832215,4995.800000000001,5016.102222604478,20.302222604476952,8.009521778083585,12.292700826393368,0.002460607075221859,9,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
2,SOLUSDT,2020-11-07 12:00:00,2020-11-07 16:00:00,2.39969925,1.865426228571429,2081.844214436455,4995.799999999999,3883.526801409445,-1112.2731985905543,7.103461441127556,-1119.376660031682,-0.22406354538445936,1,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
3,ETHUSDT,2020-11-11 20:00:00,2020-11-15 16:00:00,468.724245,452.6207632142857,10.684496115530997,5008.082374957699,4836.024786371711,-172.05758858598838,7.875285729063529,-179.93287431505192,-0.03592849734556767,23,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
4,ETHUSDT,2020-11-17 20:00:00,2020-11-18 04:00:00,483.311535,463.1684892857143,9.990038090560104,4828.300644257072,4627.070850311466,-201.22979394560735,7.564297195654831,-208.7940911412622,-0.04324380491707952,2,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
5,ETHUSDT,2020-11-20 12:00:00,2020-11-22 08:00:00,505.442595,515.6503625000001,9.139874608613802,4619.681940152369,4712.979655136254,93.29771498388465,7.466129276230899,85.83158570765374,0.018579544397124188,11,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
6,ETHUSDT,2020-11-22 20:00:00,2020-11-25 20:00:00,573.316515,561.8709275000001,8.207406038753357,4705.441427328029,4611.502843363451,-93.9385839645789,7.4535554165531845,-101.39213938113208,-0.021547848580639396,18,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
7,ETHUSDT,2020-12-17 00:00:00,2020-12-17 16:00:00,637.4985899999999,625.0895285714287,7.222187671574268,4604.134457343978,4514.5138868787435,-89.62057046523505,7.294918675378177,-96.91548914061323,-0.021049665260323782,4,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
8,SOLUSDT,2021-01-02 00:00:00,2021-01-03 16:00:00,1.84302105,1.9109506964285714,2103.808644162119,3877.363616362745,4020.27459371405,142.91097735130506,6.318110568061436,136.59286678324364,0.03522828403475295,10,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
9,ETHUSDT,2020-12-27 16:00:00,2021-01-04 08:00:00,698.0888699999999,1003.1144964285716,6.456628333315561,4507.300377214243,6476.7374792002865,1969.4371019860434,8.787230285131624,1960.6498717009117,0.43499427764179766,46,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
10,ETHUSDT,2021-01-07 04:00:00,2021-01-08 00:00:00,1213.776585,1092.7719510714287,5.327424653708348,6466.303303022926,5821.660233018902,-644.6430700040247,9.830370828833463,-654.4734408328582,-0.10121292029820175,5,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
11,ETHUSDT,2021-01-10 04:00:00,2021-01-11 00:00:00,1311.565455,1142.5043832142856,4.431635186579665,5812.3796198803675,5063.162625473925,-749.2169944064424,8.700433796283434,-757.9174282027258,-0.1303970968465968,5,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
12,SOLUSDT,2021-01-04 20:00:00,2021-01-11 12:00:00,2.4409198500000002,2.8176600178571425,1644.397191140008,4013.84174513789,4633.35221895179,619.5104738138999,6.917755171271745,612.5927186426281,0.15262004770982404,40,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
