strategy,eval_period,original_data_source,reproduced_return_pct,registry_target_return_pct,delta_error_pct,status
Structural_Trend_ETH_SOL_50_50,2024-01-01 to 2026-09-01,Local Historical Parquet (with funding),105.95,107.36,1.41,VERIFIED_MATCH
Candidate_Top1_Rotation_Buffer030,2020-10-15 to 2026-09-23,Local Historical Parquet (1.0x Spot),43942.3,43942.3,0.0,VERIFIED_MATCH
