trade_id,symbol,entry_time,exit_time,entry_price,exit_price,units,notional_entry_usd,notional_exit_usd,gross_pnl_usd,total_fee_usd,net_pnl_usd,net_ret_pct,duration_bars,exit_reason,stop_mode
1,SOLUSDT,2020-11-07 12:00:00,2020-11-11 12:00:00,2.39969925,2.1027481000000003,2081.844214436455,4995.799999999999,4377.593966402249,-618.2060335977508,7.4987151731217985,-625.7047487708726,-0.1252461565256561,24,TRAILING_STOP,BAR_CLOSE
2,ETHUSDT,2020-11-06 04:00:00,2020-11-15 20:00:00,426.903345,445.087345,11.702414746832215,4995.800000000001,5208.596709756398,212.7967097563973,8.16351736780512,204.63319238859216,0.04096104575615359,58,TRAILING_STOP,BAR_CLOSE
3,ETHUSDT,2020-11-20 20:00:00,2020-11-26 04:00:00,510.24499499999996,531.79397,10.191694874943332,5200.261300506986,5419.881878574767,219.62057806778182,8.496114543265403,211.12446352451641,0.04059881827552269,32,TRAILING_STOP,BAR_CLOSE
4,ETHUSDT,2020-12-01 00:00:00,2020-12-04 12:00:00,616.958325,584.997355,8.770784346709547,5411.208419482141,5130.885644100488,-280.32277538165323,8.433675250866102,-288.7564506325193,-0.0533626554824428,21,TRAILING_STOP,BAR_CLOSE
5,ETHUSDT,2020-12-17 00:00:00,2020-12-21 12:00:00,637.4985899999999,606.33668,8.035617026648097,5122.694524268154,4872.289349689278,-250.40517457887498,7.995987099165946,-258.4011616780409,-0.050442430336983056,27,TRAILING_STOP,BAR_CLOSE
6,ETHUSDT,2020-12-27 16:00:00,2021-01-04 12:00:00,698.0888699999999,976.4815150000001,6.968325421899251,4864.5104195659205,6804.440964989195,1939.9305454232742,9.335161107644094,1930.59538431563,0.396873522266585,47,TRAILING_STOP,BAR_CLOSE
7,ETHUSDT,2021-01-04 16:00:00,2021-01-11 04:00:00,1040.52,1104.46749,6.5289317877203,6793.484103758726,7210.992903964652,417.5088002059261,11.203581606178702,406.3052185997474,0.05980807673855382,39,TRAILING_STOP,BAR_CLOSE
8,SOLUSDT,2021-01-02 00:00:00,2021-01-11 16:00:00,1.84302105,2.7570208000000003,2371.443800502493,4370.620843218096,6538.119884016424,2167.4990407983296,8.726992581787616,2158.772048216542,0.4939280083209035,58,TRAILING_STOP,BAR_CLOSE
9,SOLUSDT,2021-01-12 08:00:00,2021-01-15 16:00:00,3.3840912,3.0988498000000004,1928.9017751395513,6527.579522914134,5977.3768801108445,-550.2026428032897,10.003965122419984,-560.2066079257097,-0.08582149109929409,20,TRAILING_STOP,BAR_CLOSE
10,ETHUSDT,2021-01-25 04:00:00,2021-01-26 16:00:00,1427.703495,1279.30003,5.042677314434151,7199.448025974852,6451.097239635929,-748.3507863389219,10.920436212488625,-759.2712225514106,-0.1054624215373234,9,TRAILING_STOP,BAR_CLOSE
11,SOLUSDT,2021-01-31 00:00:00,2021-01-31 16:00:00,4.2301139999999995,4.224486700000001,1410.799682594626,5967.8434885390825,5959.90449548522,-7.938993053862861,9.542198387219443,-17.481191441082302,-0.0029292308812478036,4,TRAILING_STOP,BAR_CLOSE
