trade_id,symbol,entry_time,exit_time,entry_price,exit_price,units,notional_entry_usd,notional_exit_usd,gross_pnl_usd,total_fee_usd,net_pnl_usd,net_ret_pct,duration_bars,exit_reason,stop_mode
1,ETHUSDT,2020-10-15 08:00:00,2020-10-15 12:00:00,378.979395,372.023895,13.182247018996904,4995.8,4904.110880859367,-91.68911914063335,7.919928704687495,-99.60904784532084,-0.019938557957748678,1,EMA200_BREAKDOWN,BAR_CLOSE
2,SOLUSDT,2020-10-15 08:00:00,2020-10-15 12:00:00,2.32686285,2.2444772,2147.0109422220567,4995.8,4818.917107967924,-176.88289203207654,7.851773686374339,-184.73466571845088,-0.03697799465920391,1,EMA200_BREAKDOWN,BAR_CLOSE
3,SOLUSDT,2020-10-15 16:00:00,2020-10-16 04:00:00,2.29044465,2.21898995,2100.5617889088703,4811.220511400751,4661.125498942805,-150.09501245794638,7.577876808274845,-157.67288926622123,-0.03277191076413913,3,EMA200_BREAKDOWN,BAR_CLOSE
4,ETHUSDT,2020-10-15 16:00:00,2020-10-16 08:00:00,376.818315,368.61560000000003,12.993727822796696,4896.27462375487,4789.690777636898,-106.58384611797122,7.748772321113415,-114.33261843908464,-0.02335094070998103,4,EMA200_BREAKDOWN,BAR_CLOSE
5,ETHUSDT,2020-10-18 16:00:00,2020-10-19 04:00:00,375.84783,372.783515,12.72333551776865,4782.038044715273,4743.049736838143,-38.988307877130794,7.620070225242733,-46.60837810237353,-0.009746551086911864,3,EMA200_BREAKDOWN,BAR_CLOSE
6,ETHUSDT,2020-10-19 12:00:00,2020-10-20 08:00:00,375.93787499999996,375.262275,12.596413217610774,4735.468817650506,4726.958680880689,-8.510136769817517,7.569941998824956,-16.080078768642473,-0.003395667754944815,5,EMA200_BREAKDOWN,BAR_CLOSE
7,ETHUSDT,2020-10-21 04:00:00,2020-10-28 20:00:00,378.13897499999996,384.517645,12.480602524899822,4719.40224614803,4799.011891055534,79.60964490750345,7.614731309762851,71.9949135977406,0.01525509160752355,46,EMA200_BREAKDOWN,BAR_CLOSE
8,ETHUSDT,2020-10-29 00:00:00,2020-10-29 12:00:00,388.41411,382.88846,12.335640134232891,4791.336684018349,4723.174254110625,-68.16242990772379,7.61160875050318,-75.77403865822697,-0.015814801516865557,3,EMA200_BREAKDOWN,BAR_CLOSE
9,ETHUSDT,2020-10-29 16:00:00,2020-10-30 04:00:00,390.905355,384.8075,12.063345347501302,4715.6262955525945,4642.065764808607,-73.56053074398733,7.486153648288962,-81.04668439227629,-0.017186833585331626,3,EMA200_BREAKDOWN,BAR_CLOSE
10,ETHUSDT,2020-10-31 12:00:00,2020-10-31 20:00:00,390.505155,385.317245,11.86833933184623,4634.647690375208,4573.07581407213,-61.57187630307823,7.366178803557871,-68.9380551066361,-0.01487449741860639,2,EMA200_BREAKDOWN,BAR_CLOSE
