bar_time,cash,position_value,total_equity,gross_realized_pnl,gross_unrealized_pnl,cum_fees,cum_slippage,active_positions_count,active_symbols,bar_fee,bar_slippage,bar_friction
2020-10-15 00:00:00,0.40671999999904074,9907.102020304883,9907.508740304882,0.0,-84.4979796951167,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",7.99328,4.993303348325385,12.986583348325386
2020-10-15 04:00:00,0.40671999999904074,9999.967493003862,10000.37421300386,0.0,8.367493003860956,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-15 08:00:00,0.40671999999904074,9845.70588814399,9846.112608143989,0.0,-145.8941118560096,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-15 12:00:00,0.40671999999904074,10003.215907746217,10003.622627746216,0.0,11.61590774621606,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-15 16:00:00,0.40671999999904074,10028.12788667459,10028.53460667459,0.0,36.52788667459042,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-15 20:00:00,0.40671999999904074,9992.20802410723,9992.61474410723,0.0,0.6080241072304204,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-16 00:00:00,0.40671999999904074,9982.680661146358,9983.087381146357,0.0,-8.919338853642515,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-16 04:00:00,0.40671999999904074,9669.184967574613,9669.591687574612,0.0,-322.41503242538835,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-16 08:00:00,0.40671999999904074,9742.113203317507,9742.519923317506,0.0,-249.48679668249196,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-16 12:00:00,0.40671999999904074,9727.289550201323,9727.696270201322,0.0,-264.3104497986772,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-16 16:00:00,0.40671999999904074,9648.770026509414,9649.176746509413,0.0,-342.82997349058496,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-16 20:00:00,0.40671999999904074,9629.673151590005,9630.079871590004,0.0,-361.92684840999596,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-17 00:00:00,0.40671999999904074,9751.948354381198,9752.355074381197,0.0,-239.65164561880277,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-17 04:00:00,0.40671999999904074,9753.184655915187,9753.591375915186,0.0,-238.4153440848128,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-17 08:00:00,0.40671999999904074,9764.305665582835,9764.712385582834,0.0,-227.29433441716435,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-17 12:00:00,0.40671999999904074,9701.747960753744,9702.154680753743,0.0,-289.8520392462568,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-17 16:00:00,0.40671999999904074,9698.660600436702,9699.067320436701,0.0,-292.939399563298,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-17 20:00:00,0.40671999999904074,9743.338153713838,9743.744873713837,0.0,-248.26184628616167,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-18 00:00:00,0.40671999999904074,9774.548257611732,9774.954977611731,0.0,-217.05174238826794,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-18 04:00:00,0.40671999999904074,9872.827507453021,9873.23422745302,0.0,-118.77249254697904,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-18 08:00:00,0.40671999999904074,9818.902771232792,9819.30949123279,0.0,-172.69722876720792,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-18 12:00:00,0.40671999999904074,9876.75650118016,9877.163221180159,0.0,-114.8434988198402,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-18 16:00:00,0.40671999999904074,9857.466664073825,9857.873384073824,0.0,-134.13333592617548,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-18 20:00:00,0.40671999999904074,9883.451178645828,9883.857898645827,0.0,-108.14882135417103,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-19 00:00:00,0.40671999999904074,9656.236578506981,9656.64329850698,0.0,-335.36342149301936,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-19 04:00:00,0.40671999999904074,9685.044475665989,9685.451195665988,0.0,-306.55552433401016,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-19 08:00:00,0.40671999999904074,9659.013314967115,9659.420034967114,0.0,-332.5866850328849,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-19 12:00:00,0.40671999999904074,9838.78505040899,9839.191770408988,0.0,-152.81494959101056,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-19 16:00:00,0.40671999999904074,9754.645289826101,9755.0520098261,0.0,-236.95471017389798,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-19 20:00:00,0.40671999999904074,9716.659447140646,9717.066167140645,0.0,-274.94055285935485,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-20 00:00:00,0.40671999999904074,9724.748174324892,9725.15489432489,0.0,-266.85182567510753,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-20 04:00:00,0.40671999999904074,9575.866940036938,9576.273660036937,0.0,-415.7330599630622,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-20 08:00:00,0.40671999999904074,9366.630279429115,9367.036999429114,0.0,-624.9697205708845,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-20 12:00:00,0.40671999999904074,9438.689738382443,9439.096458382443,0.0,-552.9102616175556,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-20 16:00:00,0.40671999999904074,9399.932448652133,9400.339168652132,0.0,-591.6675513478673,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-20 20:00:00,0.40671999999904074,9403.95538647665,9404.362106476648,0.0,-587.6446135233521,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-21 00:00:00,0.40671999999904074,9672.121045835174,9672.527765835173,0.0,-319.47895416482584,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-21 04:00:00,0.40671999999904074,9638.713206605495,9639.119926605494,0.0,-352.88679339450385,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-21 08:00:00,0.40671999999904074,9647.337983784459,9647.744703784458,0.0,-344.2620162155408,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-21 12:00:00,0.40671999999904074,9960.649002473725,9961.055722473724,0.0,-30.950997526274058,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-21 16:00:00,0.40671999999904074,9835.980239469174,9836.386959469173,0.0,-155.6197605308264,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-21 20:00:00,0.40671999999904074,9816.210488653558,9816.617208653557,0.0,-175.38951134644165,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-22 00:00:00,0.40671999999904074,9896.016281196135,9896.423001196134,0.0,-95.58371880386419,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-22 04:00:00,0.40671999999904074,10030.831380520292,10031.238100520291,0.0,39.2313805202922,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-22 08:00:00,0.40671999999904074,10326.748422449105,10327.155142449104,0.0,335.148422449105,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-22 12:00:00,0.40671999999904074,10278.823890989896,10279.230610989895,0.0,287.2238909898956,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-22 16:00:00,0.40671999999904074,10247.52835422783,10247.93507422783,0.0,255.92835422783102,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-22 20:00:00,0.40671999999904074,10161.310558313346,10161.717278313345,0.0,169.71055831334604,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-23 00:00:00,0.40671999999904074,10158.331013783109,10158.737733783108,0.0,166.73101378310923,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-23 04:00:00,0.40671999999904074,10103.199807706998,10103.606527706997,0.0,111.59980770699838,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-23 08:00:00,0.40671999999904074,10202.250219415475,10202.656939415474,0.0,210.65021941547448,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-23 12:00:00,0.40671999999904074,10108.733076025253,10109.139796025253,0.0,117.13307602525298,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-23 16:00:00,0.40671999999904074,10073.3617269741,10073.7684469741,0.0,81.76172697410043,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-23 20:00:00,0.40671999999904074,10119.975667966588,10120.382387966587,0.0,128.3756679665873,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-24 00:00:00,0.40671999999904074,10120.014044530562,10120.420764530561,0.0,128.41404453056262,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-24 04:00:00,0.40671999999904074,10061.661340385192,10062.06806038519,0.0,70.0613403851906,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-24 08:00:00,0.40671999999904074,10137.775102240106,10138.181822240105,0.0,146.17510224010633,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-24 12:00:00,0.40671999999904074,10165.929746493952,10166.33646649395,0.0,174.32974649395214,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
2020-10-24 16:00:00,0.40671999999904074,10164.894099517269,10165.300819517268,0.0,173.29409951726933,7.99328,4.993303348325385,4,"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",0.0,0.0,0.0
