bar_time,target_pos,curr_pos,asset_units,entry_price,stop_price,cash,equity,bars_held
2026-01-01 00:00:00,USDT_CASH,USDT_CASH,0.0,0.0,0.0,143418.07108442462,143418.07108442462,0
2026-01-01 04:00:00,USDT_CASH,USDT_CASH,0.0,0.0,0.0,143418.07108442462,143418.07108442462,0
2026-01-01 08:00:00,USDT_CASH,USDT_CASH,0.0,0.0,0.0,143418.07108442462,143418.07108442462,0
2026-01-01 12:00:00,USDT_CASH,USDT_CASH,0.0,0.0,0.0,143418.07108442462,143418.07108442462,0
2026-01-01 16:00:00,USDT_CASH,USDT_CASH,0.0,0.0,0.0,143418.07108442462,143418.07108442462,0
2026-01-01 20:00:00,USDT_CASH,USDT_CASH,0.0,0.0,0.0,143418.07108442462,143418.07108442462,0
2026-01-02 00:00:00,USDT_CASH,USDT_CASH,0.0,0.0,0.0,143418.07108442462,143418.07108442462,0
2026-01-02 04:00:00,USDT_CASH,USDT_CASH,0.0,0.0,0.0,143418.07108442462,143418.07108442462,0
2026-01-02 08:00:00,USDT_CASH,USDT_CASH,0.0,0.0,0.0,143418.07108442462,143418.07108442462,0
2026-01-02 12:00:00,USDT_CASH,USDT_CASH,0.0,0.0,0.0,143418.07108442462,143418.07108442462,0
2026-01-02 16:00:00,USDT_CASH,USDT_CASH,0.0,0.0,0.0,143418.07108442462,143418.07108442462,0
2026-01-02 20:00:00,ETHUSDT,ETHUSDT,45.85425315007651,3125.191815,3070.055029285714,143303.3366275571,143315.17550790662,1
2026-01-03 00:00:00,ETHUSDT,ETHUSDT,45.85425315007651,3125.191815,3070.055029285714,143303.3366275571,143320.21947575314,2
2026-01-03 04:00:00,SOLUSDT,USDT_CASH,0.0,0.0,0.0,139517.3720171257,139517.3720171257,0
2026-01-03 08:00:00,USDT_CASH,USDT_CASH,0.0,0.0,0.0,139517.3720171257,139517.3720171257,0
2026-01-03 12:00:00,ETHUSDT,ETHUSDT,44.968884968363646,3100.04925,3045.70425,139405.758119512,139462.45264123587,1
2026-01-03 16:00:00,SOLUSDT,SOLUSDT,1057.9607596349654,131.54574,129.94594120317333,139170.23101714364,139418.06890469574,1
2026-01-03 20:00:00,SOLUSDT,SOLUSDT,1057.9607596349654,131.54574,129.94594120317333,139170.23101714364,141100.22651251534,2
2026-01-04 00:00:00,SOLUSDT,SOLUSDT,1057.9607596349654,131.54574,129.94594120317333,139170.23101714364,142422.67746205904,3
2026-01-04 04:00:00,SOLUSDT,SOLUSDT,1057.9607596349654,131.54574,129.94594120317333,139170.23101714364,141555.14963915836,4
2026-01-04 08:00:00,BTCUSDT,BTCUSDT,1.5424932687158366,91577.76599999999,90289.95492857142,141258.087619034,140829.63543375587,1
2026-01-04 12:00:00,SOLUSDT,SOLUSDT,1045.195917864545,134.45719499999998,131.41112357142856,140534.1113415171,141007.38127910576,1
2026-01-04 16:00:00,SOLUSDT,SOLUSDT,1045.195917864545,134.45719499999998,131.41112357142856,140534.1113415171,139596.36678998865,2
2026-01-04 20:00:00,BNBUSDT,BNBUSDT,155.9890800003073,892.9662599999999,880.6641171428571,139292.9853687152,139677.30190467514,1
2026-01-05 00:00:00,BTCUSDT,BTCUSDT,1.5220683834521278,91575.50487,90523.40379857144,139384.18066129336,141367.00217331108,1
2026-01-05 04:00:00,BTCUSDT,BTCUSDT,1.5220683834521278,91575.50487,90523.40379857144,139384.18066129336,140822.72574007243,2
2026-01-05 08:00:00,BTCUSDT,BTCUSDT,1.5220683834521278,91575.50487,90523.40379857144,139384.18066129336,141756.71256221016,3
2026-01-05 12:00:00,BTCUSDT,BTCUSDT,1.5220683834521278,91575.50487,90523.40379857144,139384.18066129336,143010.0902139315,4
2026-01-05 16:00:00,BTCUSDT,BTCUSDT,1.5220683834521278,91575.50487,90523.40379857144,139384.18066129336,143536.22359203937,5
2026-01-05 20:00:00,BTCUSDT,BTCUSDT,1.5220683834521278,91575.50487,90523.40379857144,139384.18066129336,142860.89707098552,6
2026-01-06 00:00:00,BTCUSDT,BTCUSDT,1.5220683834521278,91575.50487,90523.40379857144,139384.18066129336,142723.1955443346,7
2026-01-06 04:00:00,BTCUSDT,BTCUSDT,1.5220683834521278,91575.50487,90523.40379857144,139384.18066129336,141940.60886429885,8
2026-01-06 08:00:00,BTCUSDT,BTCUSDT,1.5220683834521278,91575.50487,90523.40379857144,139384.18066129336,142830.89710314767,9
2026-01-06 12:00:00,SOLUSDT,SOLUSDT,1021.2180122216648,139.56975,136.09510714285713,142531.1426612747,144604.47053058774,1
2026-01-06 16:00:00,SOLUSDT,SOLUSDT,1021.2180122216648,139.56975,136.09510714285713,142531.1426612747,140448.11322084555,2
2026-01-06 20:00:00,ETHUSDT,ETHUSDT,43.45596116016185,3225.1817849999998,3148.587499285714,140153.37438342144,143267.35099126797,1
2026-01-07 00:00:00,ETHUSDT,ETHUSDT,43.45596116016185,3225.1817849999998,3148.587499285714,140153.37438342144,141963.2375968515,2
2026-01-07 04:00:00,ETHUSDT,ETHUSDT,43.45596116016185,3225.1817849999998,3148.587499285714,140153.37438342144,141462.62492428644,3
2026-01-07 08:00:00,BNBUSDT,BNBUSDT,153.56298850483043,919.2694049999999,900.6833335714285,141165.7570728573,139809.8872543378,1
2026-01-07 12:00:00,BNBUSDT,USDT_CASH,0.0,0.0,0.0,137993.67363755155,137993.67363755155,0
2026-01-07 16:00:00,BNBUSDT,BNBUSDT,153.22241785209138,899.88972,880.6950771428571,137883.27869864152,137458.89550346823,1
2026-01-07 20:00:00,SOLUSDT,SOLUSDT,1009.8841984409506,135.82788,131.292670431342,137170.42971973363,137738.10582536124,1
2026-01-08 00:00:00,SOLUSDT,SOLUSDT,1009.8841984409506,135.82788,131.292670431342,137170.42971973363,138101.6641368,2
2026-01-08 04:00:00,SOLUSDT,SOLUSDT,1009.8841984409506,135.82788,131.292670431342,137170.42971973363,137243.2625681252,3
2026-01-08 08:00:00,SOLUSDT,SOLUSDT,1009.8841984409506,135.82788,131.292670431342,137170.42971973363,136122.29110785574,4
2026-01-08 12:00:00,USDT_CASH,USDT_CASH,0.0,0.0,0.0,135955.47229586134,135955.47229586134,0
2026-01-08 16:00:00,SOLUSDT,SOLUSDT,995.3729089419417,136.478205,131.5914192857143,135846.70791802465,136893.63616678523,1
2026-01-08 20:00:00,SOLUSDT,SOLUSDT,995.3729089419417,136.478205,131.5914192857143,135846.70791802465,137729.74941029647,2
2026-01-09 00:00:00,SOLUSDT,SOLUSDT,995.3729089419417,136.478205,131.5914192857143,135846.70791802465,140158.4593081148,3
2026-01-09 04:00:00,SOLUSDT,SOLUSDT,995.3729089419417,136.478205,131.5914192857143,135846.70791802465,138894.33571375854,4
2026-01-09 08:00:00,SOLUSDT,SOLUSDT,995.3729089419417,136.478205,131.5914192857143,135846.70791802465,137640.16584849168,5
2026-01-09 12:00:00,SOLUSDT,SOLUSDT,995.3729089419417,136.478205,131.5914192857143,135846.70791802465,138177.66721932034,6
2026-01-09 16:00:00,SOLUSDT,SOLUSDT,995.3729089419417,136.478205,131.5914192857143,135846.70791802465,135181.5947634051,7
2026-01-09 20:00:00,USDT_CASH,USDT_CASH,0.0,0.0,0.0,134995.9719696275,134995.9719696275,0
2026-01-10 00:00:00,SOLUSDT,SOLUSDT,991.6193359046558,136.02798,131.94791026863606,134887.97519205182,135008.9725834189,1
2026-01-10 04:00:00,BNBUSDT,BNBUSDT,148.41489562689242,907.7636549999999,892.4882978571427,134725.64811071137,134370.3940537196,1
2026-01-10 08:00:00,BNBUSDT,BNBUSDT,148.41489562689242,907.7636549999999,892.4882978571427,134725.64811071137,133643.16106514784,2
2026-01-10 12:00:00,BNBUSDT,BNBUSDT,148.41489562689242,907.7636549999999,892.4882978571427,134725.64811071137,134876.48884780728,3
