entry_time,exit_time,symbol,entry_price,exit_price,units,leverage,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,slippage_cost_usdt,funding_cost_usdt,borrow_cost_usdt,net_pnl_usdt,gross_ret_pct,exit_reason,bars_held
2025-01-21 00:00:00,2025-01-21 04:00:00,BTCUSDT,102311.12999999999,102884.541995,0.2929886513813307,3.0,168.00320710093325,24.0,24.115202565680747,15.079541374234038,3.015908274847517,1.8349126320465536,115.03718362835843,1.6813771727475304,SIGNAL_EXIT,1
2025-01-21 04:00:00,2025-01-21 12:00:00,SOLUSDT,237.988935,239.32028,127.40439155981923,3.0,169.6191996812074,24.276089240708064,24.39236372906046,15.252853757541677,2.840081369654238,1.8560016740487102,116.2546636677359,1.6782439906292266,SIGNAL_EXIT,2
2025-01-21 12:00:00,2025-01-22 04:00:00,BTCUSDT,103810.12912499999,105547.209995,0.2954366852248608,3.0,513.1974142003188,24.55510043351063,24.946014284524075,15.599058457055285,6.28191012188872,3.821985015979143,453.59240434441625,5.0199750775042835,SIGNAL_EXIT,4
2025-01-22 04:00:00,2025-01-23 00:00:00,SOLUSDT,254.237055,254.36341081633503,125.98088438649354,3.0,15.9184174892651,25.643722203937234,25.635941960165493,48.139600576171205,2.208283244624388,4.009083676529345,-41.578613595991364,0.1491000000000417,STOP_LOSS,6
2025-01-23 04:00:00,2025-01-23 16:00:00,SOLUSDT,248.96442,249.27530000000002,128.14832328491863,3.0,39.83875074281881,25.543933531306855,25.555369385076066,15.980095913628077,2.528750081676527,1.9038733934409782,-15.693175648681617,0.3746077451549412,SIGNAL_EXIT,3
2025-01-23 16:00:00,2025-01-23 20:00:00,BTCUSDT,105316.15176,103718.164975,0.3024923583409688,3.0,-483.3787911923486,25.50626990975002,25.099161860868342,15.6948235748289,2.7045317377873115,1.9097813749934849,-538.5985360757478,-4.551970685298764,SIGNAL_EXIT,1
2025-01-23 20:00:00,2025-01-25 04:00:00,SOLUSDT,246.96341999999999,247.08616081974,122.45873557119153,3.0,15.030685588333979,24.213633423168226,24.20628706490036,45.45497070274028,7.8470506445774655,7.702728041388781,-48.93901358570085,0.1491000000000202,STOP_LOSS,9
2025-01-25 08:00:00,2025-01-26 20:00:00,SOLUSDT,247.393635,247.516589636595,121.65280064061717,3.0,14.957775893532451,24.096179790562537,24.088869067444914,45.234481223291446,6.278323269824677,9.464734069340368,-48.97033030364004,0.1491000000000138,STOP_LOSS,10
2025-01-27 00:00:00,2025-01-27 04:00:00,SOLUSDT,240.610245,230.6872657039286,124.47240181437168,3.0,-1235.137066136289,23.9786509978338,22.9713584241265,43.136001046805106,-1.0721771384661876,1.7857231636065916,-1282.8006215833896,-12.372265315724261,STOP_LOSS,2
2025-01-27 16:00:00,2025-01-27 16:00:00,SOLUSDT,233.78683499999997,226.69241220108628,111.6573221628842,3.0,-792.1442520180158,20.899929506033665,20.24949416081443,38.0248388097405,0.0,0.0,-833.2936756848638,-9.10370697166975,STOP_LOSS,1
2025-01-28 00:00:00,2025-01-28 20:00:00,SOLUSDT,235.01745,232.0839,100.44416204329978,3.0,-294.65797156212176,18.900024684389997,18.649178287392786,11.661567213225977,1.754033209205128,4.321367727168823,-338.2825754702785,-3.744679384445704,SIGNAL_EXIT,5
2025-01-28 20:00:00,2025-01-28 20:00:00,BTCUSDT,102475.45212,100368.2949994175,0.22046348188947515,3.0,-464.55119569181903,18.088146503261328,17.702035029505264,33.241177446489836,0.0,0.0,-500.34137722458564,-6.168766500629816,STOP_LOSS,1
2025-01-29 04:00:00,2025-01-31 16:00:00,BTCUSDT,102089.229105,105411.26800000001,0.2066062390236224,3.0,686.3539619861415,16.88732719792232,17.422900505752896,10.894760196191395,12.5777629950759,9.19530033129612,630.2706709560942,9.762162739763413,SIGNAL_EXIT,15
2025-01-31 16:00:00,2025-01-31 16:00:00,ETHUSDT,3429.363825,3319.4168626553574,6.701409417667419,3.0,-736.7996089003126,18.399976808216945,17.79581713965012,33.41728306143503,0.0,0.0,-772.9954028481797,-9.618136303573088,STOP_LOSS,1
2025-01-31 20:00:00,2025-02-01 04:00:00,ETHUSDT,3340.739535,3270.255522194654,6.185588489431655,3.0,-435.9850982977021,16.544787841381314,16.18276393247005,30.388264770537344,1.7169889130792209,1.238894014118447,-471.6685329987511,-6.329497891132007,STOP_LOSS,3
2025-02-03 20:00:00,2025-02-04 00:00:00,BTCUSDT,101930.929995,100532.509502817,0.18885893045724683,3.0,-264.10419848317713,15.412783362184308,15.189169776708018,28.522477046897343,0.0,0.0,-294.70615162206946,-4.115788482215138,STOP_LOSS,2
2025-03-03 00:00:00,2025-03-03 00:00:00,NEARUSDT,3.5547764999999996,3.4945298007424452,5166.894531700063,3.0,-311.2883409468357,14.705488598291344,14.444693534655244,27.124487108139864,0.0,0.0,-340.4385230797823,-5.084429295981422,STOP_LOSS,1
2025-03-24 12:00:00,2025-03-25 04:00:00,AVAXUSDT,21.695842499999998,21.3343275,799.5382867700082,3.0,-289.0450837416572,13.888436142899865,13.646089326992218,8.53307236555156,3.4156275610814752,2.0781063570348923,-322.07334312966566,-4.998860956886055,SIGNAL_EXIT,4
2025-03-25 12:00:00,2025-03-26 12:00:00,AVAXUSDT,22.330159499999997,22.341257589271496,733.5912530815755,3.0,8.141461215490239,13.115460119388667,13.11148092026555,24.620958162741434,5.021798922969926,3.0553191409049663,-26.162597888038867,0.14909999999998838,STOP_LOSS,7
2025-03-27 04:00:00,2025-03-27 12:00:00,AVAXUSDT,22.177083,21.845072000000002,735.1185313996101,3.0,-244.06743872851436,13.052669884457373,12.846973797566996,8.033375311134812,1.606675062226988,0.9775192408408171,-272.55127671360657,-4.491271462527301,SIGNAL_EXIT,2
2025-03-28 00:00:00,2025-03-28 04:00:00,AVAXUSDT,22.015002,21.7501195,703.4196489562232,3.0,-186.32355516464597,12.398546820344716,12.239569138756725,7.653557490467455,1.5308521820234289,0.9313877447857197,-213.42391105055657,-3.6095726904771412,SIGNAL_EXIT,1
2025-04-02 16:00:00,2025-04-02 20:00:00,BTCUSDT,86801.048835,85585.57171424586,0.17103509303287565,3.0,-207.8892424275152,11.886329433823382,11.710508976334314,21.990189615049008,0.10894544552854667,0.9042788352123357,-232.4993051184138,-4.200907029584285,STOP_LOSS,2
2025-04-12 16:00:00,2025-04-12 20:00:00,AVAXUSDT,20.5172535,20.1569165,689.6188881139693,3.0,-248.49520128632176,11.328331101539188,11.120472275628899,6.953772058297456,1.3907544116594421,0.8461506801487213,-273.180909755298,-5.2687899966727665,SIGNAL_EXIT,1
2025-04-12 20:00:00,2025-04-13 00:00:00,SOLUSDT,130.78536,132.17388000000003,101.92424022642874,3.0,141.5238460392037,10.672696918126473,10.777377837423334,6.739230763769812,0.0,0.0,120.07377128365391,3.1850353892821675,SIGNAL_EXIT,1
2025-04-13 00:00:00,2025-04-13 04:00:00,AVAXUSDT,20.4932415,20.222883500000002,668.031535545016,3.0,-180.60766988687817,10.960873969207244,10.807619134122376,6.758141029340321,1.3515614027146763,0.8223052111732763,-204.55002960409576,-3.95776334358815,SIGNAL_EXIT,1
2025-04-13 04:00:00,2025-04-13 12:00:00,BTCUSDT,85475.026155,84486.39567000001,0.15299173345773406,3.0,-151.25229164930835,10.469953898157412,10.34057610171944,6.466093110128318,1.0900539765056672,0.7868088049439151,-173.93968443063477,-3.469892421701782,SIGNAL_EXIT,2
2025-04-13 12:00:00,2025-04-13 12:00:00,SOLUSDT,129.88491,127.18134403019268,96.66689395057007,3.0,-261.3453248917338,10.05249865552389,9.835380396686084,18.469041806495145,0.0,0.0,-281.2332039439438,-6.2445267194025424,STOP_LOSS,1
2025-04-14 04:00:00,2025-04-15 04:00:00,SOLUSDT,131.80587,130.47473,88.86209824044234,3.0,-118.28789345178285,9.377538966058426,9.275406620124151,5.800029152153508,-2.2559580654353732,2.1362045634961486,-136.82108553602617,-3.0297740153758057,SIGNAL_EXIT,6
2025-04-15 04:00:00,2025-04-15 20:00:00,BTCUSDT,85422.65998499999,83956.51074499999,0.13231162884167802,3.0,-193.98859406938814,9.049168360771963,8.886738150827833,5.556989839187314,1.4822827805363343,1.3651794925299434,-214.7719628540542,-5.149040922832833,SIGNAL_EXIT,4
2025-04-16 16:00:00,2025-04-16 16:00:00,BTCUSDT,84889.00329,83488.53489576996,0.1255593826486647,3.0,-175.84194699848968,8.533715649922232,8.3862151198035,15.74777501215006,0.0,0.0,-192.7618777682154,-4.949292629031289,STOP_LOSS,1
2025-04-16 20:00:00,2025-04-17 00:00:00,SOLUSDT,132.516225,131.26433500000002,76.07210243089,3.0,-95.23390431220496,8.071087143278515,7.988443150114128,4.9952746061240605,0.0,0.0,-111.2934346055976,-2.834120878405587,SIGNAL_EXIT,1
2025-04-17 08:00:00,2025-04-20 12:00:00,SOLUSDT,134.317125,136.31181,72.5683686453319,3.0,144.75103641131415,7.803982900225081,7.913540543033953,4.948437057924246,-3.4707102338084517,6.016336647243014,126.48788655462056,4.455169063512946,SIGNAL_EXIT,19
2025-04-20 16:00:00,2025-04-21 04:00:00,SOLUSDT,136.00797,139.320305,74.45398038892323,3.0,246.61652513154328,8.107553827956172,8.298361004999041,5.189070163205695,-3.423354743808034,1.2529151379281935,232.38104990446791,7.306193159121463,SIGNAL_EXIT,3
2025-04-21 04:00:00,2025-04-21 12:00:00,BTCUSDT,87249.16278,86928.43404000001,0.12404612057540354,3.0,-39.785155954036185,8.665268347726895,8.626508008285484,5.394264637496044,0.5644558516677044,0.6563862970564667,-58.29777445877273,-1.1028028113302821,SIGNAL_EXIT,2
2025-04-21 12:00:00,2025-04-21 16:00:00,AVAXUSDT,20.5312605,20.521734000000002,518.6319056052732,3.0,-4.940746848746675,8.52535368902584,8.514580808595623,5.32427514294264,0.0,0.0,-21.980681346368137,-0.13919992881094007,SIGNAL_EXIT,1
2025-04-21 16:00:00,2025-04-21 16:00:00,BTCUSDT,88088.832405,86751.81598192822,0.12013188480619187,3.0,-160.61830292044556,8.472600053794556,8.337327331415164,15.655972705461089,0.0,0.0,-177.4282303056553,-4.553414047735368,STOP_LOSS,1
2025-04-21 20:00:00,2025-04-25 04:00:00,BTCUSDT,87458.797545,93265.174085,0.11491603916523031,3.0,667.2457938787159,8.046772301060983,8.574131518323107,5.361512955429165,-0.7043333275704108,6.435655325280005,644.8935680616222,19.916955308055094,SIGNAL_EXIT,20
2025-04-25 04:00:00,2025-04-27 12:00:00,NEARUSDT,2.5262624999999996,2.548725,4743.589220695271,3.0,106.55287286986989,9.594516864408876,9.672083549213246,6.048076256385015,8.694524682612363,5.289846943562164,73.30190083007324,2.66747814211712,SIGNAL_EXIT,14
2025-04-27 12:00:00,2025-04-28 00:00:00,ETHUSDT,1806.84297,1755.732914295,6.753924687531045,3.0,-345.1934670070859,9.770441426401053,9.486470299654265,17.813852590736772,-0.47037401317815175,0.7429409612474259,-364.72294568121055,-8.486081505743677,STOP_LOSS,4
2025-04-28 04:00:00,2025-04-28 08:00:00,BTCUSDT,93896.85496499999,94645.14375500001,0.1183211923737186,3.0,88.53842187268955,8.895106356766147,8.958821009178886,5.602064162817427,0.0,0.0,70.68449450674451,2.390779085025622,SIGNAL_EXIT,1
2025-04-28 08:00:00,2025-04-28 12:00:00,NEARUSDT,2.5592789999999996,2.5737125000000005,4423.852061590134,3.0,63.85166873096508,9.064749143582336,9.108578679252242,5.6957095292958115,1.1391419058594596,0.6930667919138852,43.846132210357155,1.6919022896684042,SIGNAL_EXIT,1
2025-04-28 12:00:00,2025-04-28 12:00:00,BTCUSDT,95367.649995,94069.71665947179,0.12009633085064572,3.0,-155.87703128567858,9.169979860887192,9.037942251969938,16.971599121125237,0.0,0.0,-174.08495339853573,-4.082935887367245,STOP_LOSS,1
2025-04-28 16:00:00,2025-04-28 20:00:00,BTCUSDT,93880.41674999999,94739.336635,0.11644034153630506,3.0,100.01292476172506,8.752175972730708,8.825184571761904,5.5184996071543315,0.027151152695524337,0.6715068182383483,81.73690624629857,2.7447254115433304,SIGNAL_EXIT,1
