symbol,entry_time,exit_time,entry_price,exit_price,units,leverage,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,slippage_cost_usdt,funding_cost_usdt,borrow_cost_usdt,net_pnl_usdt,gross_ret_pct,exit_reason,bars_held
BNBUSDT,2020-10-15 00:00:00,2020-10-16 04:00:00,30.853419,29.77525331078572,323.8538976831061,1.0,-349.16816080023716,8.0,7.714265471359811,14.485976723884471,0.0,0.0,-364.88242627159696,-3.494477189754175,STOP_LOSS,8
BNBUSDT,2020-10-16 08:00:00,2020-10-19 00:00:00,30.386685749999998,30.641471600000003,316.8298628839251,1.0,80.72376592026578,7.708094058982723,7.766506596471749,4.856494870229261,0.0,0.0,65.24916526481131,0.8384785760981013,SIGNAL_EXIT,16
BTCUSDT,2020-10-19 00:00:00,2020-10-23 12:00:00,11508.891569999998,12962.47552,0.8421841831291161,1.0,1224.1854115403457,7.760293391194572,8.733433485713892,5.461126491816389,0.0,0.0,1207.6916846634372,12.630095097854868,SIGNAL_EXIT,27
ETHUSDT,2020-10-23 12:00:00,2020-10-23 16:00:00,417.038415,411.803995,26.1350791315417,1.0,-136.80198090772453,8.726446738925322,8.610023996808001,5.38395697649337,0.0,0.0,-154.13845164345784,-1.2551409682486925,SIGNAL_EXIT,1
BTCUSDT,2020-10-23 16:00:00,2020-10-28 12:00:00,12927.56055,12933.985547593351,0.8311944697126624,1.0,5.340422467510335,8.603135977610556,8.600525806802477,16.150211204560378,0.0,0.0,-11.863239316902698,0.049700000000006045,STOP_LOSS,30
BTCUSDT,2020-10-28 16:00:00,2020-11-02 12:00:00,13227.87063,13234.444881703112,0.8114278849210469,1.0,5.334531154394897,8.593645386157036,8.591038094771625,16.132395020225903,0.0,0.0,-11.850152326533763,0.049700000000016384,STOP_LOSS,30
BTCUSDT,2020-11-02 16:00:00,2020-11-06 12:00:00,13505.3493,15564.563825000001,0.7938796825570045,1.0,1634.7685734237737,8.584165264295807,9.885112790823388,6.181286137332709,0.0,0.0,1616.2992953686546,15.24739922868934,SIGNAL_EXIT,23
ETHUSDT,2020-11-06 12:00:00,2020-11-07 12:00:00,443.61169499999994,443.83217001241496,27.80952082662704,1.0,6.131304449506418,9.877204700590731,9.874207980389862,18.54195289256851,0.0,0.0,-13.620108231474175,0.04970000000000503,STOP_LOSS,7
ETHUSDT,2020-11-07 16:00:00,2020-11-07 16:00:00,448.10393999999997,425.08963337571424,27.500359534649334,1.0,-632.9017066085192,9.86630861400555,9.352094201827532,17.56151890678639,0.0,0.0,-652.1201094243523,-5.135930432632599,STOP_LOSS,1
ETHUSDT,2020-11-07 20:00:00,2020-11-09 08:00:00,431.25552,444.5776,27.063818326443958,1.0,360.5463528503533,9.344612526466069,9.625573918725179,6.018993195800954,0.0,0.0,341.57616640516204,3.089138430042595,SIGNAL_EXIT,9
