regime,start_dt,end_dt,initial_equity,final_equity,net_ret_pct,cagr_pct,max_dd_pct,sharpe,calmar,avg_cash_pct,trade_count,stop_count,win_rate,total_friction_usdt
2021,2021-01-01 00:00:00,2022-01-01 00:00:00,20743.04562572816,604807.3977938072,2815.711649612573,2822.454926980942,53.1362217020211,3.504868971871982,53.11734324673647,42.857142857142854,85,0,56.470588235294116,40861.849461594924
2022,2022-01-01 00:00:00,2023-01-01 00:00:00,604807.3977938072,554491.0774922377,-8.319395643160355,-8.324849807546453,39.34191770571379,-0.024449477505925587,-0.21160254235236226,74.4408945686901,34,0,35.294117647058826,41294.09283545617
2023,2023-01-01 00:00:00,2024-01-01 00:00:00,554491.0774922377,1978627.160171604,256.8366093680385,257.1476589945894,32.98934783103424,2.1902854488775825,7.794869432146869,35.82838886353264,77,0,48.05194805194805,128539.32811841718
2024,2024-01-01 00:00:00,2025-01-01 00:00:00,1978627.160171604,2800961.228548643,41.56084000715521,41.46005458797723,36.98190527727541,0.892632147139432,1.121090281236904,35.77605826126536,91,0,47.25274725274725,572525.5385690514
2025,2025-01-01 00:00:00,2026-01-01 00:00:00,2800961.228548643,4398401.5955132255,57.03186287202977,57.08040812138584,42.37114321448917,1.235328017757886,1.3471528920623201,54.86079415791876,68,0,39.705882352941174,417575.4116125108
2026 (Stress),2026-01-01 00:00:00,2026-09-23 00:00:00,4398401.5955132255,4404230.279925322,0.13251824067275209,0.18281099201142847,29.13204407921246,0.16738306282663906,0.0062752545449385605,53.20754716981132,55,0,38.18181818181819,440566.0434684674
Full Cycle,2020-10-15 00:00:00,2026-09-23 00:00:00,9985.54915421205,4404230.279925322,44006.03975713798,178.84058860824373,53.1362217020211,1.861473469593614,3.365700135985418,47.525741509144,426,0,46.009389671361504,1641907.7390501676
