symbol,entry_time,exit_time,entry_price,exit_price,units,leverage,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,entry_slippage_usdt,exit_slippage_usdt,slippage_cost_usdt,funding_cost_usdt,borrow_cost_usdt,net_pnl_usdt,gross_ret_pct,exit_reason,bars_held
BNBUSDT,2020-10-15 00:00:00,2020-10-19 04:00:00,30.853419,29.83877315,323.8538976831061,1.0,-328.5970132904873,8.0,7.730722389367612,4.9935032483751165,4.834118552630548,9.827621801005664,0.0,0.0,-344.3277356798549,-3.2886010137158457,SIGNAL_EXIT,25
BTCUSDT,2020-10-19 04:00:00,2020-11-06 12:00:00,11421.958125,15564.563825000001,0.8446842144685842,1.0,3499.193641557581,7.724537811456116,10.517713094453015,4.821563081712811,6.576859113589316,11.398422195302128,0.0,0.0,3480.9513906516718,36.268787318811874,SIGNAL_EXIT,110
ETHUSDT,2020-11-06 12:00:00,2020-11-12 16:00:00,443.61169499999994,460.92942000000005,29.589198174876433,1.0,512.4175969630152,10.509298923977454,10.910825562408684,6.559777289377877,6.822677315162266,13.382454604540143,0.0,0.0,490.99747247662907,3.9038026263036443,SIGNAL_EXIT,37
BTCUSDT,2020-11-12 16:00:00,2020-11-16 12:00:00,16133.0625,16227.552165000001,0.8440256789773478,1.0,79.75170365796795,10.902096901958759,10.957176587363566,6.804957036754867,6.851661197700322,13.656618234455188,0.0,0.0,57.89243016864563,0.5856895738177482,SIGNAL_EXIT,23
SOLUSDT,2020-11-16 12:00:00,2020-11-17 12:00:00,2.2715351999999998,2.2232878000000005,6019.966209095505,1.0,-290.4477176767101,10.948410846093674,10.707293943275431,6.833865640563898,6.695406417754062,13.52927205831796,0.0,0.0,-312.1034224660792,-2.123999663311371,SIGNAL_EXIT,6
BTCUSDT,2020-11-17 12:00:00,2020-11-21 16:00:00,17002.607055,18780.605,0.7859213215842266,1.0,1397.3664947084383,10.698728108120813,11.808062321401067,6.678016695173717,7.383730816284151,14.061747511457868,0.0,0.0,1374.8597042789163,10.457207763777255,SIGNAL_EXIT,25
BNBUSDT,2020-11-21 16:00:00,2020-11-22 08:00:00,30.5008428,29.9302274,483.1496401653002,1.0,-275.6926251827794,11.798615871543946,11.568622878700486,7.364553335111316,7.234006302339028,14.598559637450345,0.0,0.0,-299.05986393302385,-1.8708184680064028,SIGNAL_EXIT,4
ETHUSDT,2020-11-22 08:00:00,2020-11-24 04:00:00,542.5911600000001,612.75347,26.60870959916949,1.0,1866.9285315969037,11.559367980397527,13.04366331129073,7.215217694911037,8.156367753432159,15.371585448343197,0.0,0.0,1842.3255003052154,12.930971820477122,SIGNAL_EXIT,11
BNBUSDT,2020-11-24 04:00:00,2020-11-26 04:00:00,32.85491925,29.9606122,495.46620777104727,1.0,-1434.0313381885078,13.0332283806417,11.87557672738638,8.135183531943996,7.425948428830955,15.56113196077495,0.0,0.0,-1458.940143296536,-8.809356760175271,SIGNAL_EXIT,12
ETHUSDT,2020-11-26 04:00:00,2020-12-12 12:00:00,532.32603,559.230245,27.841451330568194,1.0,749.0523925096434,11.86607626600447,12.455825318999382,7.406661297471075,7.788785216983741,15.195446514454815,0.0,0.0,724.7304909246395,5.05408593301365,SIGNAL_EXIT,98
